CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Brunswick, GA Metro Area",12.6,12.6,12.6,46,53.2,18.3,75.4,0.3,138,0.2,931,0,10.3,0,17490,17490,2.5,10.3,10.3
"Cape Girardeau, MO-IL Metro Area",11.1,11.1,11.1,40.2,49.7,22.6,56.5,0.5,0,1.1,6150,1330,11.4,1330,646,646,7.1,11.4,11.4
"Carbondale-Marion, IL Metro Area",11.2,11.2,11.2,47.6,53.5,16.7,69.1,3.1,0,1.1,662,101,5.8,101,130704,130704,2.3,5.8,5.8
"Carson City, NV Metro Area",10.4,10.4,10.4,33.9,41.5,11.7,67.4,1.7,332,0.7,6297,1146,8.3,1146,18903,18903,0.7,8.3,8.3
"Casper, WY Metro Area",7.5,7.5,7.5,36.4,44.2,16.3,60,0.4,56,1,1121,0,12.3,0,5827,5827,0.9,12.3,12.3
"Cedar Rapids, IA Metro Area",16,16,16,48.1,62.6,36.9,76.3,7.7,0,0.9,3384,772,12.2,772,129618,129618,13,12.2,12.2
"Centralia, WA Micro Area",12.1,12.1,12.1,36,43.9,15.1,68,0.9,1398,0.7,8032,316,8,316,7817,7817,0.9,8,8
"Chambersburg-Waynesboro, PA Metro Area",10.5,10.5,10.5,39.5,45.4,7.6,68.9,0.4,0,0.6,1238,0,8.9,0,3831,3831,2.5,8.9,8.9
"Waco, TX Metro Area",7.6,7.6,7.6,37,96.2,35.6,66.1,0,0,0.8,497,236,7.9,236,5355,5355,1.8,7.9,7.9
"Walla Walla, WA Metro Area",12.4,12.4,12.4,39.9,21.3,11.3,73.4,0.3,0,0.5,3074,265,9.2,265,36277,36277,4.1,9.2,9.2
