CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Bangor, ME Metro Area",21926,21926,92508,92508,92508,40788,75418,68949,5324,18684,2,1189,18267,10039,414200,114434,114434,60133,60133,3220,3220,973,973,973,25925,25925,91029,91029,15450,25093,48195,0
"Barnstable Town, MA Metro Area",20311,20311,74523,74523,74523,32112,58222,47193,6014,9067,2.06,808,19964,13067,199000,94834,94834,47008,47008,1278,1278,2917,2917,2917,11204,11204,74165,74165,9134,17359,36778,0
"Baton Rouge, LA Metro Area",54938,54938,216535,216535,216535,39068,79624,123655,12167,32371,2.36,1433,54092,21062,378800,271473,271473,138370,138370,14324,14324,4588,4588,4588,43853,43853,210046,210046,60221,29742,107448,0
"Battle Creek, MI Metro Area",209662,209662,733670,733670,733670,58815,97053,506820,51727,115509,2.49,1521,151999,73049,444500,943332,943332,459438,459438,158350,158350,28573,28573,28573,178372,178372,638357,638357,57330,140456,300234,3.2
"Bellingham, WA Metro Area",126621,126621,296542,296542,296542,18431,41123,177286,10575,45236,3.18,787,34252,49819,89000,423163,423163,206353,206353,83839,83839,33983,33983,33983,29642,29642,238506,238506,,,115701,0
"Bend-Redmond, OR Metro Area",24140,24140,94982,94982,94982,31244,57381,56887,3103,13933,2.33,778,19273,14524,166900,119122,119122,58397,58397,3694,3694,8833,8833,8833,10464,10464,92895,92895,,,43944,0.6
"Billings, MT Metro Area",226971,226971,901012,901012,901012,34238,60105,581848,74834,167927,1.93,828,190850,130174,160800,1127983,1127983,547091,547091,44606,44606,38282,38282,38282,151088,151088,875231,875231,41954,417255,419784,0.5
"Binghamton, NY Metro Area",37366,37366,132143,132143,132143,28330,58490,86555,6796,20249,2.26,796,27004,17063,166500,169509,169509,79966,79966,10858,10858,8550,8550,8550,20362,20362,123223,123223,29648,27899,55576,0.3
"Birmingham-Hoover, AL Metro Area",40723,40723,178710,178710,178710,38497,74909,126301,12687,29911,1.99,1242,41348,18600,291800,219433,219433,108248,108248,9085,9085,6181,6181,6181,38733,38733,171722,171722,9303,45035,83435,0
"Bismarck, ND Metro Area",27081,27081,86429,86429,86429,41402,87947,58388,7721,11155,2.49,1370,,,320700,113510,113510,56505,56505,5616,5616,4983,4983,4983,14280,14280,84469,84469,21127,5497,42142,1.3
"Blacksburg-Christiansburg-Radford, VA Metro Area",84549,84549,312971,312971,312971,29994,55706,197591,20403,53485,2.09,728,68378,43855,144000,397520,397520,193637,193637,5864,5864,17945,17945,17945,39839,39839,310945,310945,25514,126954,149430,0.1
"Bay City, MI Metro Area",133898,133898,636679,636679,636679,35715,62240,336962,23826,70272,2.93,1220,109887,106728,244700,770577,770577,378604,378604,99567,99567,36487,36487,36487,105918,105918,584536,584536,274658,5296,284259,3
"Beaumont-Port Arthur, TX Metro Area",22983,22983,76517,76517,76517,39791,70567,50244,3045,13290,2.07,841,19630,8819,267200,99500,99500,50766,50766,2596,2596,2136,2136,2136,12038,12038,74452,74452,9685,27337,37312,0
"Beaver Dam, WI Micro Area",2129677,2129677,7328190,7328190,7328190,40144,75379,5045254,368945,1258249,2.29,1139,1504723,776202,253800,9457867,9457867,4628721,4628721,1338355,1338355,353297,353297,353297,1535426,1535426,6613093,6613093,460528,2978715,3178986,0.4
"Beckley, WV Metro Area",19074,19074,74323,74323,74323,29474,52624,49176,2038,11755,2.4,774,14164,12295,158500,93397,93397,45481,45481,,,4997,4997,4997,11738,11738,73945,73945,,,35325,0
"Bloomington, IL Metro Area",27367,27367,109792,109792,109792,28551,46882,63245,8445,20730,1.91,686,18496,17292,115500,137159,137159,67766,67766,2368,2368,5956,5956,5956,14485,14485,106916,106916,,,52146,0
"Bloomington, IN Metro Area",11357,11357,44559,44559,44559,31733,57270,26311,2229,9322,2.18,932,,,325200,55916,55916,28480,28480,7332,7332,4151,4151,4151,6092,6092,40319,40319,4572,16996,20424,0
"Bloomsburg-Berwick, PA Metro Area",19356,19356,60502,60502,60502,32934,65034,42342,3281,9108,2.13,777,,,225400,79858,79858,40278,40278,,,3034,3034,3034,7628,7628,60367,60367,6777,23454,29691,0
"Bluefield, WV-VA Micro Area",62895,62895,210137,210137,210137,33499,64088,148696,12868,30469,2.12,758,52542,29362,163800,273032,273032,134651,134651,7092,7092,7518,7518,7518,39638,39638,204474,204474,20163,80483,99832,0
"Boise City, ID Metro Area",17206,17206,63501,63501,63501,29115,58911,36454,4040,9817,2.35,842,13375,8687,247600,80707,80707,41102,41102,3216,3216,5967,5967,5967,6948,6948,61330,61330,23917,2409,30017,0
"Boston-Cambridge-Newton, MA-NH Metro Area",34235,34235,120792,120792,120792,31022,62484,77858,8127,16034,2.29,899,26295,17931,187500,155027,155027,76292,76292,5693,5693,9061,9061,9061,14550,14550,117116,117116,29926,11475,56769,1.2
"Boulder, CO Metro Area",42973,42973,183060,183060,183060,30181,53081,115358,11357,40541,2.2,909,27288,20871,158700,226033,226033,111928,111928,10715,10715,5129,5129,5129,27077,27077,169017,169017,31241,52134,82888,0.1
"Bowling Green, KY Metro Area",54297,54297,203517,203517,203517,28107,47500,109087,15920,31887,2.15,698,33354,44211,105200,257814,257814,125831,125831,1732,1732,14215,14215,14215,24347,24347,201729,201729,54526,51240,96589,0.5
"Bozeman, MT Micro Area",174188,174188,627934,627934,627934,38050,70505,411943,24282,98926,2.48,1212,136649,68401,266600,802122,802122,391492,391492,31990,31990,34415,34415,34415,131601,131601,599951,599951,235250,58392,287561,0.7
"Brainerd, MN Micro Area",616972,616972,2019911,2019911,2019911,36374,66399,1412418,74472,339537,2.45,1077,452702,190002,233900,2636883,2636883,1277410,1277410,182148,182148,109055,109055,109055,428345,428345,1871675,1871675,515010,421390,884530,0.4
"Branson, MO Micro Area",41312,41312,177046,177046,177046,42734,75907,116014,6856,30547,2.17,1187,35431,21296,317700,218358,218358,104995,104995,10104,10104,8425,8425,8425,37547,37547,170043,170043,55525,15426,79170,0.2
"Bremerton-Silverdale, WA Metro Area",120432,120432,445721,445721,445721,30615,55366,282911,16488,75749,2.29,852,84779,62422,185000,566153,566153,277630,277630,15632,15632,34349,34349,34349,75332,75332,435007,435007,152614,56652,207553,0.4
"Bridgeport-Stamford-Norwalk, CT Metro Area",44456,44456,174730,174730,174730,34250,62563,102686,16093,31738,2.64,1087,27661,18252,336600,219186,219186,108389,108389,14168,14168,11310,11310,11310,29686,29686,167905,167905,23199,38415,82743,0.1
"Brownsville-Harlingen, TX Metro Area",16552,16552,60114,60114,60114,26935,55717,34240,4760,7446,2.16,673,11350,9569,127600,76666,76666,40620,40620,,,3810,3810,3810,5965,5965,59906,59906,12261,9852,31603,0.2
"Brunswick, GA Metro Area",515106,515106,1704644,1704644,1704644,36878,66825,1170366,94503,290393,2.15,854,397702,190550,186100,2219750,2219750,1089972,1089972,71355,71355,90524,90524,90524,328315,328315,1647993,1647993,347248,458022,796849,0.1
"Cape Girardeau, MO-IL Metro Area",18244,18244,73463,73463,73463,28452,53088,44337,6066,8570,2.27,718,12590,14124,126400,91707,91707,44591,44591,,,6263,6263,6263,9717,9717,73039,73039,6676,25025,35921,0
"Carbondale-Marion, IL Metro Area",81064,81064,230009,230009,230009,26667,53547,127747,18268,47413,2.37,902,43223,24559,162500,311073,311073,156431,156431,11355,11355,10902,10902,10902,32806,32806,223179,223179,81374,25868,111537,0.6
"Carson City, NV Metro Area",13432,13432,50954,50954,50954,28056,47138,27456,7707,8493,2.94,992,9374,8101,255200,64386,64386,31474,31474,5648,5648,4461,4461,4461,4687,4687,48201,48201,8619,624,22972,0.3
"Casper, WY Metro Area",27763,27763,99038,99038,99038,25199,52178,62146,4031,15548,2.35,770,17894,13494,160700,126801,126801,61790,61790,3310,3310,8620,8620,8620,13291,13291,96071,96071,,,45566,0.4
"Cedar Rapids, IA Metro Area",428619,428619,1619830,1619830,1619830,34200,57228,1059782,113417,312476,2.04,813,344557,215593,161400,2048449,2048449,989370,989370,86586,86586,92539,92539,92539,277897,277897,1572381,1572381,136678,693137,744950,0.2
"Centralia, WA Micro Area",37817,37817,127880,127880,127880,30041,62579,83099,4360,20100,2.21,966,30143,15040,306900,165697,165697,82636,82636,3739,3739,6064,6064,6064,17885,17885,126057,126057,23263,34788,61374,0
"Chambersburg-Waynesboro, PA Metro Area",56179,56179,211922,211922,211922,28798,55670,133625,5090,45465,2.49,952,25682,23450,213200,268101,268101,133521,133521,21284,21284,11482,11482,11482,32709,32709,192527,192527,57925,31916,95132,0
