CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Palm Bay-Melbourne-Titusville, FL Metro Area",38818,38818,141262,141262,141262,32864,63091,81379,14519,26751,2.43,1116,27264,18699,279200,180080,180080,89171,89171,8049,8049,6836,6836,6836,19470,19470,138373,138373,23463,29365,67525,0
"Panama City, FL Metro Area",101650,101650,373640,373640,373640,39619,72132,255307,18447,79895,2.27,1195,74873,37634,383000,475290,475290,239838,239838,53819,53819,21719,21719,21719,63975,63975,339725,339725,55439,119499,170292,0.1
"Parkersburg-Vienna, WV Metro Area",14854,14854,51030,51030,51030,26003,47944,33214,3989,9261,2.17,712,10975,7325,102100,65884,65884,31565,31565,,,3430,3430,3430,4859,4859,49708,49708,7319,14847,23379,0
"Pensacola-Ferry Pass-Brent, FL Metro Area",78930,78930,257186,257186,257186,30798,61078,171256,20330,42590,2.29,836,58123,32825,132900,336116,336116,164128,164128,23027,23027,16132,16132,16132,36483,36483,243606,243606,15419,113092,117671,0.2
"Peoria, IL Metro Area",32108,32108,113662,113662,113662,26179,46466,68912,6817,21790,2.24,783,20872,15869,113900,145770,145770,70080,70080,4389,4389,9443,9443,9443,13736,13736,111465,111465,35814,13202,51694,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",22730,22730,75768,75768,75768,25581,50880,45212,2332,13867,2.39,780,12361,9215,138900,98498,98498,47831,47831,3588,3588,5531,5531,5531,7882,7882,71527,71527,,,33496,0
"Portland-South Portland, ME Metro Area",21367,21367,89613,89613,89613,26360,48585,48515,9136,13913,2.37,861,17419,14854,218600,110980,110980,54265,54265,2136,2136,5159,5159,5159,7825,7825,88982,88982,25831,10562,43133,0
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",16788,16788,47827,47827,47827,22545,42003,28826,6321,8009,2.43,737,7763,8899,99400,64615,64615,31959,31959,6824,6824,5580,5580,5580,4630,4630,43986,43986,,,21606,0
"Port St. Lucie, FL Metro Area",19926,19926,65487,65487,65487,25238,44382,37586,5108,8226,2.33,673,10907,10305,125900,85413,85413,40437,40437,5563,5563,6114,6114,6114,6470,6470,60725,60725,,,29392,0.1
"Phoenix-Mesa-Scottsdale, AZ Metro Area",534049,534049,1829681,1829681,1829681,37974,76706,1184996,158647,337909,2.65,1390,361100,155270,434400,2363730,2363730,1156456,1156456,336679,336679,84584,84584,84584,362352,362352,1663456,1663456,265668,510097,800631,0.1
"Pine Bluff, AR Metro Area",40712,40712,149827,149827,149827,29451,48303,88910,14718,22070,2.28,761,29957,27023,108300,190539,190539,92707,92707,2466,2466,10180,10180,10180,18523,18523,148154,148154,6909,61249,71046,0.1
"Pinehurst-Southern Pines, NC Micro Area",274935,274935,1015931,1015931,1015931,37590,68324,693556,51363,165663,2.38,1155,225192,101036,251200,1290866,1290866,628403,628403,71142,71142,60279,60279,60279,206470,206470,964870,964870,315618,133963,456732,0.7
"Pittsburgh, PA Metro Area",22061,22061,82758,82758,82758,25843,47540,49776,7286,15467,2.29,681,14411,9584,159300,104819,104819,51129,51129,1983,1983,4739,4739,4739,10932,10932,81345,81345,29389,6798,38789,0
"Pittsfield, MA Metro Area",1183793,1183793,3466838,3466838,3466838,28763,70954,2153879,340031,498394,3.21,1413,624537,256775,378500,4650631,4650631,2318259,2318259,863496,863496,287829,287829,287829,446734,446734,3038796,3038796,279150,1010697,1505743,0.3
"Plattsburgh, NY Micro Area",63357,63357,249439,249439,249439,32576,60471,155750,9554,38877,2.15,835,53732,33860,191800,312796,312796,150422,150422,9598,9598,14008,14008,14008,40424,40424,243719,243719,68972,39978,116041,0.2
"Pocatello, ID Metro Area",14817,14817,54676,54676,54676,23807,41044,29466,2963,9798,2.5,704,8914,9940,84000,69493,69493,33354,33354,,,5778,5778,5778,5035,5035,54029,54029,18594,3827,25263,
"Ponce, PR Metro Area",53547,53547,168374,168374,168374,40989,75926,124013,8355,23744,1.98,949,42587,25951,226700,221921,221921,110248,110248,12614,12614,3927,3927,3927,35075,35075,160643,160643,15634,58737,77879,0
"Port Angeles, WA Micro Area",217986,217986,851658,851658,851658,35147,62104,559384,73843,147420,2.06,899,181177,108699,150700,1069644,1069644,522131,522131,54203,54203,44651,44651,44651,156307,156307,827391,827391,69271,308800,396663,1
"Portsmouth, OH Micro Area",47908,47908,154056,154056,154056,31236,66076,113006,12882,24614,2.19,849,30665,21194,204800,201964,201964,101061,101061,6373,6373,5538,5538,5538,24070,24070,150291,150291,19747,41870,74805,0
"Pottsville, PA Micro Area",45027,45027,132529,132529,132529,32087,63595,79779,4599,17628,2.79,1002,27702,17814,323800,177556,177556,87968,87968,8531,8531,5321,5321,5321,19443,19443,126332,126332,27267,33147,61246,0
"Prescott, AZ Metro Area",26622,26622,98789,98789,98789,25947,50425,57279,3966,17245,2.15,762,15933,13780,122400,125411,125411,65136,65136,1845,1845,5179,5179,5179,12808,12808,97422,97422,16366,24774,50472,0
"Providence-Warwick, RI-MA Metro Area",615146,615146,2186277,2186277,2186277,37365,66417,1464230,93218,352986,2.05,883,515685,276912,184600,2801423,2801423,1356372,1356372,89908,89908,107193,107193,107193,411038,411038,2133120,2133120,352864,723340,1016097,0.2
"Provo-Orem, UT Metro Area",20587,20587,81296,81296,81296,25968,53542,48375,5058,9928,2.33,629,16600,14032,116100,101883,101883,51548,51548,,,4183,4183,4183,7649,7649,81242,81242,8985,22457,40879,0
"Pueblo, CO Metro Area",104027,104027,329876,329876,329876,29065,65689,207929,26361,55006,2.41,1083,66648,30631,295000,433903,433903,215290,215290,40967,40967,17743,17743,17743,49654,49654,301193,301193,80129,61889,146135,0.1
"Punta Gorda, FL Metro Area",113191,113191,320870,320870,320870,31647,77514,199469,27380,60485,3.42,1658,45013,22729,602900,434061,434061,220206,220206,108756,108756,22940,22940,22940,41618,41618,236671,236671,58151,58474,119858,0
"Quincy, IL-MO Micro Area",79008,79008,336718,336718,336718,34571,61283,193063,26046,43656,2.63,1027,71386,51792,244400,415726,415726,200308,200308,21369,21369,22680,22680,22680,50062,50062,320238,320238,89639,25311,152510,2.2
"Racine, WI Metro Area",332379,332379,900317,900317,900317,34445,80196,675645,20501,129147,2.49,1181,200796,76041,356400,1232696,1232696,617616,617616,111247,111247,40809,40809,40809,188289,188289,816431,816431,49022,348925,408687,0.1
"Raleigh, NC Metro Area",28567,28567,92809,92809,92809,29184,55097,58441,2548,14830,2.13,952,13915,15912,149700,121376,121376,59196,59196,6196,6196,5048,5048,5048,10515,10515,88125,88125,,,42070,0.5
"Rapid City, SD Metro Area",637215,637215,1913745,1913745,1913745,29802,62355,1273611,77126,310192,2.8,1057,307196,213210,197600,2550960,2550960,1260539,1260539,228412,228412,127882,127882,127882,306816,306816,1758558,1758558,589101,216583,855877,0.3
"Reading, PA Metro Area",714798,714798,2623532,2623532,2623532,40389,83985,1721606,206372,522793,2.77,1758,427512,182129,619300,3338330,3338330,1680316,1680316,612764,612764,129381,129381,129381,560064,560064,2328508,2328508,348069,675615,1178061,0.2
"Redding, CA Metro Area",15082,15082,59184,59184,59184,33393,60653,38013,3080,8476,2.38,758,12377,9455,141300,74266,74266,36155,36155,,,2977,2977,2977,8302,8302,58957,58957,7730,19468,28249,0
"Reno, NV Metro Area",924120,924120,3807683,3807683,3807683,60223,114696,2652716,227722,791326,2.54,2057,648484,281766,940900,4731803,4731803,2339716,2339716,1136711,1136711,169226,169226,169226,1032030,1032030,3240246,3240246,466572,1161667,1581091,0.3
"Richmond, IN Micro Area",19534,19534,97112,97112,97112,10522,16491,39053,9494,11669,2.77,431,,,94500,116646,116646,55141,55141,null,null,null,null,null,null,null,96583,96583,,,44368,null
"Richmond, VA Metro Area",431307,431307,1559353,1559353,1559353,61400,130865,1091123,86891,296893,2.81,2374,248465,117484,1116400,1990660,1990660,1008156,1008156,575117,575117,66170,66170,66170,384399,384399,1225754,1225754,224875,410268,613357,0.1
"Richmond-Berea, KY Micro Area",364646,364646,1667239,1667239,1667239,14880,23137,830739,168805,238641,2.53,523,224216,289686,120900,2031885,2031885,954170,954170,null,null,null,null,null,null,null,1630908,1630908,93174,564,754259,null
"Riverside-San Bernardino-Ontario, CA Metro Area",111077,111077,442808,442808,442808,29882,54304,277441,32541,77718,2.14,798,81568,70924,142000,553885,553885,271811,271811,23051,23051,23383,23383,23383,59086,59086,428138,428138,45696,125960,209205,0.2
"Roanoke, VA Metro Area",18275,18275,60478,60478,60478,24529,43399,33204,4135,10086,2.49,622,,,123900,78753,78753,38769,38769,,,6637,6637,6637,5119,5119,59774,59774,,,28624,
"Roanoke Rapids, NC Micro Area",846322,846322,3133523,3133523,3133523,49184,94027,2206465,167129,620853,2.27,1621,659700,260692,503000,3979845,3979845,1994294,1994294,515505,515505,113141,113141,113141,754202,754202,2768093,2768093,813044,623460,1378614,0.3
"Rochester, MN Metro Area",25972,25972,133951,133951,133951,37521,59782,68920,4566,14508,2.83,1004,23460,25949,235300,159923,159923,78032,78032,11527,11527,7021,7021,7021,25733,25733,124090,124090,,,57591,1.4
"Rochester, NY Metro Area",18275,18275,87946,87946,87946,28896,48698,38425,3504,8665,2.6,807,12134,22552,144900,106221,106221,52623,52623,10509,10509,8084,8084,8084,8955,8955,82330,82330,,,39085,2.4
"Rockford, IL Metro Area",16181,16181,63365,63365,63365,30668,48204,34669,3863,7345,2.41,776,10712,13473,166300,79546,79546,38765,38765,1839,1839,5260,5260,5260,8629,8629,61850,61850,,,29885,0
"Rocky Mount, NC Metro Area",20072,20072,78178,78178,78178,28419,57741,48025,5492,10781,2.67,849,14186,12966,197600,98250,98250,47070,47070,3461,3461,7165,7165,7165,9733,9733,74213,74213,,,35081,0
"Rome, GA Metro Area",49101,49101,234010,234010,234010,38308,77265,139253,14398,40029,2.48,1654,40243,26240,637000,283111,283111,141980,141980,21023,21023,11131,11131,11131,43577,43577,222201,222201,18983,73389,110571,0
"Roseburg, OR Micro Area",51849,51849,221364,221364,221364,46714,89269,147036,15217,39157,2.73,1785,37940,20613,839500,273213,273213,135458,135458,40302,40302,7056,7056,7056,45805,45805,198382,198382,20909,59673,97175,0.3
"Roswell, NM Micro Area",26228,26228,124130,124130,124130,38172,61298,74819,10589,17797,2.22,1030,24721,19664,314700,150358,150358,72431,72431,16259,16259,6777,6777,6777,24250,24250,113975,113975,9988,40727,53921,0.1
"Russellville, AR Micro Area",98284,98284,348215,348215,348215,38805,75653,225653,27254,70033,2.97,1660,48171,28262,593800,446499,446499,223859,223859,82439,82439,16994,16994,16994,57383,57383,281506,281506,28882,106778,137761,0.1
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",95477,95477,398859,398859,398859,46006,87828,268068,26611,72168,2.53,1757,79641,38880,664600,494336,494336,240513,240513,62856,62856,17627,17627,17627,83916,83916,361748,361748,39395,131310,174281,0.2
"Saginaw, MI Metro Area",88264,88264,305089,305089,305089,31541,60371,196326,10933,56349,2.56,1097,57395,28835,201000,393353,393353,192635,192635,14525,14525,18451,18451,18451,54984,54984,295001,295001,108088,32160,140682,0.7
"Salisbury, MD-DE Metro Area",17091,17091,55501,55501,55501,26207,53511,32641,2463,7756,2.63,752,9044,8855,133900,72592,72592,35056,35056,,,4289,4289,4289,6413,6413,55105,55105,10266,11977,25895,0.1
"Salt Lake City, UT Metro Area",25123,25123,90217,90217,90217,32928,60706,61782,4149,13861,2.04,750,21986,12844,169100,115340,115340,57915,57915,5968,5968,2806,2806,2806,16532,16532,87498,87498,5773,35806,44097,0.1
"San Angelo, TX Metro Area",21444,21444,76503,76503,76503,23519,44987,44058,3146,9310,2.99,676,10569,10720,134500,97947,97947,46744,46744,,,5984,5984,5984,8063,8063,75291,75291,20302,7206,35591,
"San Antonio-New Braunfels, TX Metro Area",13031,13031,53737,53737,53737,32591,63983,29551,3594,4630,3.09,948,,,254200,66768,66768,34442,34442,2187,2187,2926,2926,2926,6095,6095,51534,51534,,,26680,0.1
"San Diego-Carlsbad, CA Metro Area",31979,31979,104233,104233,104233,28576,57476,65989,3667,15098,2.51,906,17883,16043,167900,136212,136212,66435,66435,8384,8384,5032,5032,5032,13292,13292,99208,99208,,,46758,0.4
"Sandusky, OH Micro Area",29122,29122,81802,81802,81802,19284,38897,38580,6956,10526,2.8,667,11199,17007,148000,110924,110924,54994,54994,1974,1974,8469,8469,8469,5185,5185,80410,80410,7723,10170,40165,0
"San Francisco-Oakland-Hayward, CA Metro Area",94193,94193,300513,300513,300513,27807,47447,168930,23880,53887,2.38,852,57519,42418,160500,394706,394706,190267,190267,6347,6347,23274,23274,23274,37093,37093,295643,295643,85254,65471,140028,0.1
"San Germ\u00E1n, PR Metro Area",27003,27003,98919,98919,98919,28373,48484,46463,8908,16729,2.45,735,18040,17213,154000,125922,125922,64204,64204,9016,9016,6043,6043,6043,13332,13332,93194,93194,17128,26228,48203,0.1
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",37229,37229,107441,107441,107441,28415,60132,76728,6734,18867,2.32,830,22725,14500,138400,144670,144670,71817,71817,9724,9724,5854,5854,5854,14578,14578,101255,101255,17563,33266,49464,0
"San Juan-Carolina-Caguas, PR Metro Area",70467,70467,198366,198366,198366,34878,65566,151077,8133,37265,1.97,851,47264,22970,222300,268833,268833,136928,136928,10201,10201,7058,7058,7058,42944,42944,191941,191941,30359,65486,96298,0.1
"St. Cloud, MN Metro Area",13602,13602,59845,59845,59845,26159,48895,32678,3412,6325,2.01,600,11073,12058,105300,73447,73447,38340,38340,,,4166,4166,4166,6310,6310,59678,59678,4377,6104,31181,0
"St. George, UT Metro Area",74329,74329,249284,249284,249284,29148,53471,159291,13874,37042,2.28,854,56153,33136,140700,323613,323613,158868,158868,12597,12597,16597,16597,16597,36542,36542,237574,237574,18444,96450,113655,0.1
"St. Joseph, MO-KS Metro Area",73712,73712,246073,246073,246073,27969,55339,154269,10517,33265,2.44,841,53022,34969,158800,319785,319785,155121,155121,17413,17413,19890,19890,19890,34514,34514,237683,237683,79919,32104,112420,0.1
"St. Louis, MO-IL Metro Area",124531,124531,443990,443990,443990,32168,59646,272938,37237,85787,2.21,934,94593,49500,258500,568521,568521,282120,282120,22389,22389,18199,18199,18199,73581,73581,434330,434330,100800,105622,213168,0.2
"Salem, OH Micro Area",45772,45772,161231,161231,161231,35802,62205,102046,10128,28759,2.12,809,36638,22997,147000,207003,207003,98956,98956,4160,4160,7172,7172,7172,31425,31425,159065,159065,16398,66410,74938,0.1
"Salem, OR Metro Area",134682,134682,562700,562700,562700,33702,62346,362389,57809,100040,2.15,952,108025,62834,241600,697382,697382,333527,333527,41405,41405,32208,32208,32208,89700,89700,544608,544608,52730,108738,255991,1.5
"Salinas, CA Metro Area",103813,103813,363703,363703,363703,27630,47034,220812,11721,81335,2.07,761,69180,47504,161700,467516,467516,229807,229807,9107,9107,18482,18482,18482,54187,54187,357543,357543,96170,71524,172436,0.1
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",29710,29710,104373,104373,104373,27212,50128,64705,10066,17943,2.36,739,23053,13410,118300,134083,134083,64870,64870,1793,1793,7264,7264,7264,8578,8578,103546,103546,8681,40760,49162,0
"Santa Cruz-Watsonville, CA Metro Area",23363,23363,139022,139022,139022,31470,60706,82236,6730,23218,2.27,995,21187,14558,261400,162385,162385,84877,84877,5777,5777,4929,4929,4929,21785,21785,129936,129936,24440,14274,69460,0.2
"Santa Fe, NM Metro Area",15495,15495,64113,64113,64113,22714,50436,41661,2428,13145,2.42,817,,,143300,79608,79608,38755,38755,1649,1649,3969,3969,3969,7042,7042,62609,62609,,,30747,
"Santa Maria-Santa Barbara, CA Metro Area",23458,23458,99662,99662,99662,30079,57844,62764,4817,14394,2.06,836,23738,13010,199900,123120,123120,60072,60072,2729,2729,7314,7314,7314,13014,13014,97032,97032,24602,13517,47201,0
"Santa Rosa, CA Metro Area",13197,13197,57575,57575,57575,33081,56358,38730,3208,8933,1.9,761,12327,7803,180300,70772,70772,35400,35400,1441,1441,1675,1675,1675,11395,11395,56020,56020,4650,17272,27915,0.5
"Savannah, GA Metro Area",15531,15531,66253,66253,66253,22405,41272,38195,1753,14902,2.26,789,8918,7968,169400,81784,81784,40802,40802,2688,2688,1897,1897,1897,9507,9507,61628,61628,13658,15756,30026,0.3
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",203759,203759,558389,558389,558389,28919,68997,348181,58417,95813,3.29,1260,95350,39078,385600,762148,762148,380845,380845,147178,147178,42246,42246,42246,68256,68256,479513,479513,51719,163142,238626,0.1
"Searcy, AR Micro Area",31782,31782,108684,108684,108684,24594,49263,60372,6851,19207,2.3,786,19444,17808,126600,140466,140466,68959,68959,2609,2609,9096,9096,9096,12188,12188,107384,107384,48478,4403,51713,0
"Seattle-Tacoma-Bellevue, WA Metro Area",17750,17750,73093,73093,73093,25677,47349,43134,4635,12051,2.22,695,12965,13576,116300,90843,90843,45981,45981,,,5326,5326,5326,7640,7640,72014,72014,10797,9170,36231,0.1
"Sebastian-Vero Beach, FL Metro Area",135306,135306,513287,513287,513287,33615,61213,328456,43691,81350,2.12,848,105358,69136,142700,648593,648593,315915,315915,23762,23762,26357,26357,26357,80055,80055,497152,497152,42072,157802,237852,0.4
"Sebring, FL Metro Area",17015,17015,62963,62963,62963,24593,50147,34923,1915,8042,2.46,626,10948,11612,119500,79978,79978,39620,39620,,,8078,8078,8078,5027,5027,62328,62328,20952,5705,29344,
"Seneca, SC Micro Area",73021,73021,313433,313433,313433,29728,52729,201236,12063,64280,2.3,982,51937,36431,195400,386454,386454,188412,188412,16103,16103,18590,18590,18590,53810,53810,300832,300832,132665,11928,142281,1.2
"Sevierville, TN Micro Area",628593,628593,2566238,2566238,2566238,33116,57906,1577761,103962,408690,2.48,1160,475320,344471,224300,3194831,3194831,1551478,1551478,325256,325256,150245,150245,150245,470613,470613,2378530,2378530,1143889,58178,1133908,1.7
"Shawnee, OK Micro Area",39221,39221,146561,146561,146561,26046,50129,86847,8606,22804,2.18,686,31037,19058,101000,185782,185782,93357,93357,2283,2283,8170,8170,8170,15481,15481,144338,144338,31053,30685,71208,0
"Sheboygan, WI Metro Area",34443,34443,114865,114865,114865,26165,51544,63625,5455,19412,2.58,771,15378,20238,117200,149308,149308,73848,73848,4098,4098,7844,7844,7844,11538,11538,112540,112540,,,55536,
"Shelby, NC Micro Area",9100,9100,123320,123320,123320,39187,60287,25257,1754,6862,2.13,1185,24143,28453,282000,132420,132420,65348,65348,6623,6623,5128,5128,5128,24444,24444,120663,120663,,,58905,0.5
"Shelton, WA Micro Area",141406,141406,500410,500410,500410,31276,53563,330048,35118,96603,2.12,760,108380,63106,139200,641816,641816,312154,312154,12184,12184,30532,30532,30532,77324,77324,492690,492690,53819,192151,235229,0.1
"Sherman-Denison, TX Metro Area",54283,54283,177686,177686,177686,31691,59567,119696,7526,29338,2.23,804,37141,29073,138600,231969,231969,113846,113846,5784,5784,7662,7662,7662,29850,29850,174825,174825,17948,62901,84409,0
"Show Low, AZ Micro Area",32372,32372,147961,147961,147961,46748,81195,101538,11151,18825,2.1,1049,36275,18869,255800,180333,180333,89859,89859,11466,11466,6014,6014,6014,28860,28860,143831,143831,11818,10622,70571,0.6
"Shreveport-Bossier City, LA Metro Area",28429,28429,122224,122224,122224,35885,61637,78283,9247,12110,2.14,955,30755,18073,230200,150653,150653,73989,73989,2118,2118,5135,5135,5135,24433,24433,121214,121214,6930,34725,58803,0
"Sierra Vista-Douglas, AZ Metro Area",78062,78062,289368,289368,289368,42338,79492,186583,9893,49000,2.49,1234,56192,25659,291600,367430,367430,178912,178912,60696,60696,16167,16167,16167,57081,57081,248119,248119,21959,97850,119005,2.4
"Sioux City, IA-NE-SD Metro Area",16831,16831,82924,82924,82924,40556,68818,45909,8658,10755,2.54,1407,18627,9983,485000,99755,99755,48342,48342,5414,5414,2341,2341,2341,17364,17364,79852,79852,4682,14061,39128,0
"Sioux Falls, SD Metro Area",215606,215606,831673,831673,831673,31004,56169,491857,64977,151943,2.3,905,157666,100795,211600,1047279,1047279,516110,516110,108716,108716,51014,51014,51014,134431,134431,761110,761110,174360,215318,371071,0.2
"Somerset, PA Micro Area",23047,23047,81335,81335,81335,28581,57642,48692,4833,10252,2.4,743,15030,14634,165600,104382,104382,52139,52139,1924,1924,6176,6176,6176,8625,8625,79629,79629,,,38550,0.2
"South Bend-Mishawaka, IN-MI Metro Area",244433,244433,754222,754222,754222,32380,57859,501178,23585,136354,2.33,861,152132,98690,160900,998655,998655,491612,491612,47690,47690,46364,46364,46364,129734,129734,720429,720429,127611,234314,348410,0.3
"Spartanburg, SC Metro Area",40764,40764,125362,125362,125362,25898,48831,76555,3003,16582,2.84,767,22207,19384,118800,166126,166126,79551,79551,2496,2496,11969,11969,11969,14740,14740,122202,122202,,,57576,
"Springfield, IL Metro Area",52704,52704,199132,199132,199132,26650,49721,117903,6026,30935,2.5,858,33585,26341,165400,251836,251836,123265,123265,5724,5724,14019,14019,14019,27779,27779,193749,193749,,,93014,0.2
"Springfield, MA Metro Area",31692,31692,78092,78092,78092,26923,56667,52663,2252,12208,2.79,761,17770,9676,194300,109784,109784,53468,53468,8071,8071,5337,5337,5337,7615,7615,70864,70864,14674,19666,34554,0
"Springfield, MO Metro Area",56590,56590,176161,176161,176161,29053,59584,112918,3497,26085,2.53,994,28527,23988,167800,232751,232751,111874,111874,16705,16705,10161,10161,10161,28130,28130,163015,163015,,,76027,0
"Springfield, OH Metro Area",18319,18319,68430,68430,68430,30284,51744,38957,7707,13720,2.66,1120,9169,11589,431000,86749,86749,42245,42245,7283,7283,5674,5674,5674,8963,8963,63220,63220,6755,10762,30302,0
"State College, PA Metro Area",204874,204874,769689,769689,769689,38461,87470,476765,40163,134922,2.72,1774,119805,61729,739700,974563,974563,490069,490069,149375,149375,26727,26727,26727,159284,159284,700404,700404,116736,8997,357516,0.2
"Statesboro, GA Micro Area",61037,61037,228953,228953,228953,30953,57778,136868,20938,35453,2.05,728,44036,36415,131800,289990,289990,144328,144328,14327,14327,14234,14234,14234,31198,31198,221513,221513,15371,64551,108773,0.5
"Staunton-Waynesboro, VA Metro Area",35204,35204,110534,110534,110534,25479,43787,68998,7018,23798,2.6,817,17940,12687,131200,145738,145738,70339,70339,2550,2550,6082,6082,6082,15003,15003,108430,108430,47636,4323,50746,
"Stevens Point, WI Micro Area",98885,98885,348758,348758,348758,36968,86652,224509,27218,56851,2.75,1723,66476,27066,460500,447643,447643,222048,222048,72772,72772,16421,16421,16421,59359,59359,314933,314933,39274,102179,155264,0.2
"Stillwater, OK Micro Area",24430,24430,74660,74660,74660,27903,56627,46306,1985,10131,2.79,966,9679,12817,148500,99090,99090,48300,48300,5209,5209,5788,5788,5788,7463,7463,71656,71656,,,34647,0.4
"Stockton-Lodi, CA Metro Area",35556,35556,113971,113971,113971,29711,54587,65578,7999,17556,2.67,1143,20598,13206,164900,149527,149527,77328,77328,12102,12102,13007,13007,13007,10657,10657,103230,103230,6951,31828,50434,2.2
"Sumter, SC Metro Area",387046,387046,1377985,1377985,1377985,35032,69329,863113,80175,262738,2.37,1178,295396,117177,255900,1765031,1765031,864601,864601,87879,87879,72790,72790,72790,233989,233989,1334548,1334548,392693,242746,647913,0.8
"Sunbury, PA Micro Area",142252,142252,323943,323943,323943,23096,57692,207366,50246,58729,3.25,1014,60156,25224,244700,466195,466195,232817,232817,82165,82165,26867,26867,26867,25160,25160,274023,274023,32526,92902,132220,0.1
"Spokane-Spokane Valley, WA Metro Area",65200,65200,205668,205668,205668,25448,50368,123014,5125,37268,2.52,877,30485,31191,161300,270868,270868,132079,132079,16832,16832,15347,15347,15347,26303,26303,192439,192439,65848,27702,91981,0
"Syracuse, NY Metro Area",12042,12042,48718,48718,48718,31896,61285,29546,2875,7621,2.17,858,9139,6407,273900,60760,60760,31601,31601,5929,5929,2244,2244,2244,7671,7671,45305,45305,11225,10573,24221,0.3
"Talladega-Sylacauga, AL Micro Area",45706,45706,139703,139703,139703,28953,61936,89946,7108,25388,2.32,910,28876,14567,154800,185409,185409,90224,90224,9374,9374,5971,5971,5971,19068,19068,135061,135061,,,63221,1.8
"Tallahassee, FL Metro Area",58574,58574,249133,249133,249133,28770,48615,141050,12000,35349,2.18,661,47418,48161,149200,307707,307707,149993,149993,3803,3803,17902,17902,17902,32567,32567,246678,246678,108615,12936,118462,0.2
"Tampa-St. Petersburg-Clearwater, FL Metro Area",31015,31015,146558,146558,146558,35743,64087,91445,13863,22627,1.97,1135,25382,21367,238900,177573,177573,87941,87941,10563,10563,8088,8088,8088,21405,21405,140594,140594,8353,15442,68744,1.8
"Terre Haute, IN Metro Area",14689,14689,53549,53549,53549,28978,56348,30749,5380,10114,2.31,809,11735,7508,186300,68238,68238,33578,33578,,,3262,3262,3262,6431,6431,52215,52215,9414,12345,25474,0
"Texarkana, TX-AR Metro Area",178050,178050,691475,691475,691475,31816,56623,424077,29614,108286,2.25,872,138594,101047,186900,869525,869525,422331,422331,26558,26558,40960,40960,40960,110163,110163,673674,673674,224588,105234,323921,0.2
"The Villages, FL Metro Area",57012,57012,208054,208054,208054,31652,56441,142267,14408,39605,2.12,824,39964,23627,171800,265066,265066,129184,129184,9287,9287,7466,7466,7466,37862,37862,199066,199066,15857,76838,96400,0.2
"Toledo, OH Metro Area",22529,22529,81277,81277,81277,32050,62588,52848,4614,9227,2.1,912,19032,12422,306500,103806,103806,52226,52226,2563,2563,2384,2384,2384,19583,19583,79907,79907,15958,15929,39749,0.2
"Topeka, KS Metro Area",24325,24325,85537,85537,85537,28332,60923,55259,5499,13313,2.3,923,16851,9419,153300,109862,109862,54135,54135,3911,3911,4424,4424,4424,8564,8564,82577,82577,5460,30964,40442,0.2
"Torrington, CT Micro Area",517143,517143,1637925,1637925,1637925,36358,70215,1152800,49522,294903,2.23,989,361461,187946,209100,2155068,2155068,1054905,1054905,99229,99229,67249,67249,67249,347595,347595,1566230,1566230,226474,571290,756447,0.3
"Traverse City, MI Micro Area",15718,15718,56575,56575,56575,34389,81971,36847,3334,7469,2.84,1326,8960,6469,622300,72293,72293,34998,34998,7470,7470,1997,1997,1997,9626,9626,51823,51823,5811,258,25018,0
