CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Bakersfield, CA Metro Area",10.1,10.1,10.1,32.2,29.5,10,61,0,36,0.3,679,935,5.9,0,31403,31403,0.5,2.9,2.9
"Baltimore-Columbia-Towson, MD Metro Area",8.6,8.6,8.6,39.4,46,18.8,59.6,0.5,0,0.5,975,0,14,0,15680,15680,1.4,0,0
"Bangor, ME Metro Area",8.7,8.7,8.7,27.2,15.4,11.7,62.8,0.3,0,0.2,1874,207,7.4,0,4580,4580,3.6,0.3,0.3
"Barnstable Town, MA Metro Area",14.9,14.9,14.9,43,61.4,21.6,82.6,1.3,15,0.8,2455,0,9.5,0,1450,1450,5.9,0.2,0.2
"Baton Rouge, LA Metro Area",11.8,11.8,11.8,38.2,46.9,14.6,70.1,3.3,0,0.5,3781,64,11.4,0,20852,20852,3.5,3.9,3.9
"Battle Creek, MI Metro Area",9.6,9.6,9.6,33.2,33.8,12.5,66.6,32.3,80,0.5,1825,702,8.1,0,218807,218807,0.5,6,6
"Bellingham, WA Metro Area",8,8,8,42.5,14.2,9.2,66.1,0,0,1,118,327,12,0,93289,93289,0.1,0.6,0.6
"Bend-Redmond, OR Metro Area",13.2,13.2,13.2,44,31.5,7,69.2,0,171,2.5,409,0,11.6,0.4,6620,6620,0.9,0.1,0.1
"Billings, MT Metro Area",11.5,11.5,11.5,37.7,45.7,18.1,66.1,1.6,355,0.5,3445,321,7.8,0.1,78400,78400,0.7,2.6,2.6
"Binghamton, NY Metro Area",10.1,10.1,10.1,36.7,31.1,9.8,62.5,0.8,0,0.4,507,78,7.3,0,15405,15405,0.7,0.3,0.3
"Birmingham-Hoover, AL Metro Area",10.4,10.4,10.4,30,35.6,11,69.6,18.9,38,0.5,6274,399,7.6,0,14819,14819,6.5,0.8,0.8
"Bismarck, ND Metro Area",7.5,7.5,7.5,31.2,42.5,10,72.8,13.5,0,1.2,1414,177,5.6,0,3765,3765,3.2,1.2,1.2
"Blacksburg-Christiansburg-Radford, VA Metro Area",12.3,12.3,12.3,39,47.2,15.1,69.9,3.2,294,0.4,2132,51,7.4,0.2,7919,7919,1.3,0.6,0.6
