CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economical,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Boulder, CO Metro Area",8.8,8.8,8.8,31.8,29.9,8.9,62.6,0.1,0,0.4,1073,538,6.6,0,53.8,53.8,0.8,5,5
"Bowling Green, KY Metro Area",9.3,9.3,9.3,36.2,62.8,13.9,63.4,,,,,,10.5,,75.1,75.1,,0,0
"Bozeman, MT Micro Area",8.3,8.3,8.3,27.4,18.4,7.6,61.7,0.3,69,0,1976,0,9.5,0.2,52,52,4.4,1,1
"Brainerd, MN Micro Area",13.5,13.5,13.5,41.2,39.4,20.1,78.3,1.9,0,0.7,3575,0,10.2,0,37.7,37.7,8.8,0.5,0.5
"Branson, MO Micro Area",15.5,15.5,15.5,47.5,14.7,9.6,75.9,1.3,0,1,1616,32,12,0,22.9,22.9,4.5,0,0
"Bremerton-Silverdale, WA Metro Area",11.2,11.2,11.2,36.3,47.8,14.4,69.9,3.4,10,0.4,6103,87,8.2,0,35.5,35.5,5.8,7.5,7.5
"Bridgeport-Stamford-Norwalk, CT Metro Area",8.7,8.7,8.7,32.5,38.4,10.7,65.7,36.8,118,0.4,2253,461,9,0,51,51,0.7,9.5,9.5
"Brownsville-Harlingen, TX Metro Area",7.6,7.6,7.6,44.6,14.1,5.3,66.4,,,,,,7.1,,67.4,67.4,,0.7,0.7
"Brunswick, GA Metro Area",12.6,12.6,12.6,42.5,24.9,5.5,68.4,,,,,,11,,57.1,57.1,,0.3,0.3
"Cape Girardeau, MO-IL Metro Area",9.4,9.4,9.4,36.6,11,8.5,66,,,,,,12.3,,74,74,,1.5,1.5
"Carbondale-Marion, IL Metro Area",9.9,9.9,9.9,42.4,27.4,20,56.6,,,,,,11.3,,52.3,52.3,,2,2
"Carson City, NV Metro Area",11.2,11.2,11.2,36.5,44.2,9.9,57.8,,,,,,14.4,,46.1,46.1,,0.6,0.6
"Casper, WY Metro Area",9.1,9.1,9.1,31.6,24.1,4.5,70.8,0.1,48,0.5,731,132,7.4,0.1,58.3,58.3,2.3,0,0
"Cedar Rapids, IA Metro Area",9.4,9.4,9.4,31.8,24.4,10.6,75.8,0.4,0,0.4,763,35,7.9,0,57.2,57.2,0.7,0.3,0.3
"Centralia, WA Micro Area",12.4,12.4,12.4,46.9,65.4,16.3,71.1,0,0,0.2,3968,0,8.9,0,75.1,75.1,13.1,0.8,0.8
"Chambersburg-Waynesboro, PA Metro Area",10.7,10.7,10.7,35.6,35.8,11.8,71.9,21.2,792,0.6,3995,0,12,1.3,69.5,69.5,6.7,0.1,0.1
"Waco, TX Metro Area",8.7,8.7,8.7,40.8,29.6,6.8,58.2,0,0,0.3,298,36,9.2,0,67.9,67.9,0.3,0.4,0.4
"Walla Walla, WA Metro Area",10.4,10.4,10.4,44.8,61,15.3,60.6,2,0,0.2,1184,0,11.4,0,57.4,57.4,5,0.4,0.4
"Warner Robins, GA Metro Area",7.6,7.6,7.6,37.3,17.1,12.2,63.3,0,0,0.4,312,0,9.8,0,47.8,47.8,0.4,0.1,0.1
"Warsaw, IN Micro Area",9.7,9.7,9.7,30,45.2,4.6,73.6,0.7,41,0.1,650,37,14.8,0.1,53.4,53.4,2.1,0.4,0.4
"Wichita Falls, TX Metro Area",8.7,8.7,8.7,39.4,32.7,8.8,64.2,0.1,0,1.1,334,103,9.9,0,56.8,56.8,0.6,0.6,0.6
"Williamsport, PA Metro Area",10.7,10.7,10.7,41.6,54.4,13.4,69.2,25.9,1344,2,3342,0,9.2,3,43.8,43.8,7.5,0.4,0.4
"Wilmington, NC Metro Area",10.8,10.8,10.8,39.7,21.6,8,60.8,1,0,0.3,550,7,6.2,0,39.7,39.7,0.5,0.4,0.4
"Wilson, NC Micro Area",10.9,10.9,10.9,37.3,27.5,9.5,60.2,,,,,,14.8,,60,60,,0.5,0.5
"Watertown-Fort Atkinson, WI Micro Area",10.4,10.4,10.4,29.7,43.4,6.2,73.3,1.9,18,0.9,1052,0,9.2,0.1,56.7,56.7,3.2,0.1,0.1
"Watertown-Fort Drum, NY Metro Area",8.1,8.1,8.1,36.9,56.8,20,54.7,17.1,50,0.3,2737,0,7.5,0.1,48.6,48.6,6.1,0.6,0.6
"Wausau, WI Metro Area",9.9,9.9,9.9,32.9,21.5,6.7,72,3.6,30,1,3520,25,10.3,0.1,31.3,31.3,6.3,0.5,0.5
"Weirton-Steubenville, WV-OH Metro Area",13.1,13.1,13.1,46.6,68.4,16.7,71.9,9.1,262,0,1524,0,4.7,0.5,19.1,19.1,2.9,0.5,0.5
"Wenatchee, WA Metro Area",10.5,10.5,10.5,34.9,62.2,15.1,64.9,,,,,,6.2,,58.6,58.6,,0.3,0.3
"Wheeling, WV-OH Metro Area",12.6,12.6,12.6,45.7,52.2,13.3,74.7,5.3,0,0.2,2378,0,5.8,0,17.7,17.7,4.5,0.5,0.5
"Whitewater-Elkhorn, WI Micro Area",10.4,10.4,10.4,32.9,42.2,11.6,66.8,1.5,0,0.5,596,0,7.1,0,64,64,1.5,0.3,0.3
"Wichita, KS Metro Area",8.7,8.7,8.7,34.3,23.9,6.5,66.4,0.2,0,0.2,2142,0,10,0,57.9,57.9,0.9,0.4,0.4
"Winchester, VA-WV Metro Area",10.6,10.6,10.6,37,35.7,8.1,69.2,6.1,0,0.4,4287,0,10.6,0,57.9,57.9,8,1,1
"Winston-Salem, NC Metro Area",10.2,10.2,10.2,40.2,28.8,6.2,64.3,5.5,43,0.6,3739,244,10,0,72.9,72.9,1.4,0.8,0.8
"Wisconsin Rapids-Marshfield, WI Micro Area",11.2,11.2,11.2,37.7,73,11.5,70.4,3.9,0,0.8,1406,69,7.1,0,7,7,4.4,0,0
"Wooster, OH Micro Area",9.8,9.8,9.8,37,17,9.7,73,2.9,42,0.1,3269,0,10,0.1,48,48,7.4,0,0
"Worcester, MA-CT Metro Area",9.2,9.2,9.2,34.1,42.6,15.3,66.3,43.8,93,0.2,10958,445,7.4,0,47.2,47.2,3.1,1.7,1.7
"Yakima, WA Metro Area",8.1,8.1,8.1,39.3,49.5,17.1,63.5,1.4,0,0.2,2943,153,9.9,0,70.6,70.6,3.5,0.2,0.2
"York-Hanover, PA Metro Area",10.1,10.1,10.1,35.1,28.5,8.7,75.1,14.7,880,0.4,6611,31,9.6,0.5,50.7,50.7,3.8,0.7,0.7
"Youngstown-Warren-Boardman, OH-PA Metro Area",12,12,12,42.1,57.9,16.8,69.8,3.7,663,0.4,4353,41,7.3,0.3,25.3,25.3,1.9,0.9,0.9
"Yuba City, CA Metro Area",7.7,7.7,7.7,40.7,44.4,20.9,59.9,0.1,0,0.3,2511,1438,12.3,0,48.3,48.3,4.3,0.4,0.4
"Yuma, AZ Metro Area",9.3,9.3,9.3,47.3,55.6,23.8,65.7,0.1,0,4,50,670,12.6,0,56.1,56.1,0.1,0.7,0.7
"Zanesville, OH Micro Area",10.1,10.1,10.1,39.9,75.3,14.4,71.4,3.5,0,0.9,1023,0,8.1,0,26.6,26.6,3,0.5,0.5
"Charleston-North Charleston, SC Metro Area",9.5,9.5,9.5,34.5,31.2,8.2,67.1,0.1,0,0.3,808,653,7.9,0,56.6,56.6,0.3,0.8,0.8
"Champaign-Urbana, IL Metro Area",7.9,7.9,7.9,38.2,40.5,10.2,57.1,0.3,0,0.5,107,0,9.4,0,67.3,67.3,0.1,6,6
"Charleston, WV Metro Area",12,12,12,47.9,53.2,14.5,69.8,0.4,54,0.2,1683,0,9,0.1,37.5,37.5,1.9,2.4,2.4
"Charlotte-Concord-Gastonia, NC-SC Metro Area",8.3,8.3,8.3,32.8,21.5,5.7,65.7,0.9,75,0.3,8012,0,9.4,0,62,62,0.8,1.5,1.5
"Charlottesville, VA Metro Area",10.6,10.6,10.6,39.4,25.9,4.2,62.8,4.4,0,0.3,2888,169,10,0,52.5,52.5,3.3,4.2,4.2
"Chattanooga, TN-GA Metro Area",10.3,10.3,10.3,38.5,29.2,7.7,68.2,0.3,39,0.6,2805,66,9.6,0,61.6,61.6,1.3,0.7,0.7
"Cheyenne, WY Metro Area",9.9,9.9,9.9,36.2,31.7,8.2,71.8,0,28,0.6,762,0,11.6,0.1,46.9,46.9,1.9,0,0
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",8.5,8.5,8.5,32.9,37.2,8.9,64.8,0.1,482,0.8,2415,779,8,0,47.4,47.4,0.1,12.1,12.1
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",10.2,10.2,10.2,38.2,51,14.9,65.3,1.8,350,0.2,4248,82,6.8,0.1,42.2,42.2,0.9,3.1,3.1
"Burlington, NC Metro Area",9.7,9.7,9.7,38.7,37.1,6.1,66.6,1.2,0,0.6,868,0,8.5,0,63.7,63.7,1.3,0.3,0.3
"Burlington-South Burlington, VT Metro Area",10,10,10,31.1,39.5,11.6,66.5,21.3,0,0.1,8012,298,8.8,0,35.7,35.7,9.2,1.5,1.5
"California-Lexington Park, MD Metro Area",7.7,7.7,7.7,33.7,37.4,10.8,71.1,17.3,124,0.6,2625,53,6.5,0.3,57,57,6.4,1.2,1.2
"Canton-Massillon, OH Metro Area",11,11,11,38.6,44.2,11.4,68.3,4.2,124,0.1,2575,0,8.8,0.1,47.3,47.3,1.6,0.9,0.9
"Cape Coral-Fort Myers, FL Metro Area",15.7,15.7,15.7,47.1,25.8,6.1,72.8,0.1,0,1.7,106,80,10.3,0,48.8,48.8,0,0.4,0.4
"Chico, CA Metro Area",10.9,10.9,10.9,42.6,54.6,20.6,58.6,0.4,0,0.7,8091,635,9.1,0,51.7,51.7,9.1,1.2,1.2
"Chillicothe, OH Micro Area",10,10,10,50.2,50.3,16.9,66.2,6.1,0,0.1,770,0,10.3,0,44,44,2.6,1.6,1.6
"Cincinnati, OH-KY-IN Metro Area",9,9,9,33.9,41.6,9.9,65.5,2.6,0,0.5,8410,125,8.2,0,54.3,54.3,1,1.7,1.7
"Claremont-Lebanon, NH-VT Micro Area",13.1,13.1,13.1,37.1,49.7,13.7,73.6,50,99,0.8,15739,636,9.8,0.1,45.4,45.4,17.4,0.8,0.8
"Clarksburg, WV Micro Area",12,12,12,45.3,54.4,14.3,71.8,0.6,75,0.1,1016,0,6.2,0.2,30.8,30.8,2.8,1.1,1.1
"Clarksville, TN-KY Metro Area",5.8,5.8,5.8,36.2,33.4,18.8,57.3,0.3,0,0.6,1018,0,10.3,0,37,37,1,0.8,0.8
"Clearlake, CA Micro Area",15.2,15.2,15.2,47.3,38.9,31.9,65,12.5,0,0,4784,119,8.5,0,57.2,57.2,17.9,0.1,0.1
"Cleveland, TN Metro Area",9.9,9.9,9.9,39.4,35.8,10.5,67.4,1.4,0,0.6,829,0,12,0,57.8,57.8,1.8,0,0
