CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,Estimate of ages above 25yrs with a high school degree,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP02_0061E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Environmental,Environmental
"Napa, CA Metro Area",#REF!,181279,684031,104196,865310,2.32,1147,254600,426019,27717,33528,119941,650110,181279,684031,33528,38079,72058,448238,38621,143778,89309,684031,865310,426019,27717,33528,87983,119941,650110,317645,1,105185,123957
"Naples-Immokalee-Marco Island, FL Metro Area",#REF!,24707,97060,10963,121767,1.93,726,137400,59691,800,2591,15212,96181,24707,97060,2591,31432,57361,57399,6427,21732,17100,97060,121767,59691,800,2591,1540,15212,96181,46733,0.9,7225,29241
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",#REF!,68292,201827,37378,270119,2.22,939,167000,137626,7601,13302,32559,189062,68292,201827,13302,32036,58354,131529,5808,38421,28622,201827,270119,137626,7601,13302,24905,32559,189062,94810,0.4,40894,60563
"New Bern, NC Metro Area",#REF!,21885,104310,19236,126195,1.92,857,213900,64696,3099,2283,19663,100625,21885,104310,2283,34344,64569,68199,4256,19547,10919,104310,126195,64696,3099,2283,6584,19663,100625,51777,0.7,13561,30546
"New Castle, PA Micro Area",#REF!,97810,300997,48497,398807,2.32,1316,328100,205291,11093,10464,55728,290773,97810,300997,10464,41571,84476,196453,25771,71288,30796,300997,398807,205291,11093,10464,35398,55728,290773,150362,0.4,19069,116734
"New Haven-Milford, CT Metro Area",#REF!,68045,301345,58704,369390,2,1225,333000,182937,18928,5492,64985,279555,68045,301345,5492,46033,76918,197786,16478,58830,31599,301345,369390,182937,18928,5492,45200,64985,279555,137267,0.5,27180,113137
"New Orleans-Metairie, LA Metro Area",#REF!,25051,90921,12161,115972,2.4,718,139400,55581,1432,8632,9618,88832,25051,90921,8632,24804,46524,51356,4646,15870,16600,90921,115972,55581,1432,8632,3342,9618,88832,42469,,29637,10988
"New Philadelphia-Dover, OH Micro Area",#REF!,56508,187576,27230,244084,1.91,862,228300,122570,3088,6894,37624,184196,56508,187576,6894,39291,74331,134360,8875,42218,28716,187576,244084,122570,3088,6894,9401,37624,184196,91459,0.1,16235,67219
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",#REF!,30188,151826,21255,182014,2.68,477,101700,87851,null,null,null,151347,30188,151826,null,11849,20297,63541,17002,,,151826,182014,87851,null,null,null,null,151347,71947,null,,
"Niles-Benton Harbor, MI Metro Area",#REF!,85115,387226,54248,472341,2.47,1055,301400,228940,6067,16929,85285,374898,85115,387226,16929,36686,60261,227512,16310,70397,60778,387226,472341,228940,6067,16929,24773,85285,374898,179017,0.8,111435,37486
"North Port-Sarasota-Bradenton, FL Metro Area",#REF!,21360,75977,11482,97337,2.04,742,134000,49336,,5797,7342,74754,21360,75977,5797,25314,46771,45101,5113,13699,14734,75977,97337,49336,,5797,2151,7342,74754,37878,0.6,7512,23048
"Norwich-New London, CT Metro Area",#REF!,18241,65426,7982,83667,2.19,844,152200,40996,,6787,8799,63311,18241,65426,6787,27638,49830,33842,1400,10761,13833,65426,83667,40996,,6787,3390,8799,63311,30793,0.4,,
"Orangeburg, SC Micro Area",#REF!,44224,173158,39021,217382,2.05,1040,259900,102771,6595,9402,29616,165947,44224,173158,9402,32483,59628,110458,5261,29187,19055,173158,217382,102771,6595,9402,16703,29616,165947,76779,0.4,58465,23864
"North Wilkesboro, NC Micro Area",#REF!,1457962,4687008,753440,6144970,2.38,1370,300000,2974744,256500,216255,1070061,4316721,1457962,4687008,216255,39904,77589,3229654,171560,1067432,456610,4687008,6144970,2974744,256500,216255,847348,1070061,4316721,2046581,0.4,953954,1223624
"Orlando-Kissimmee-Sanford, FL Metro Area",#REF!,57486,217480,37101,274966,2.17,1208,254200,133842,11803,14651,41427,200081,57486,217480,14651,36514,66388,138539,14017,47597,27601,217480,274966,133842,11803,14651,43885,41427,200081,97179,0.3,18692,79294
"Oshkosh-Neenah, WI Metro Area",#REF!,14282,61598,9534,75880,2.11,870,164500,39620,392,4962,7309,60901,14282,61598,4962,34827,63511,34568,4522,12647,10211,61598,75880,39620,392,4962,1941,7309,60901,31827,0.3,4529,15737
"Ottawa-Peru, IL Micro Area",#REF!,37284,139934,23723,177218,2.24,895,203500,87082,4624,6154,23179,134133,37284,139934,6154,28556,52424,86324,4068,27506,16129,139934,177218,87082,4624,6154,11172,23179,134133,64410,0.3,53606,11235
"Owensboro, KY Metro Area",#REF!,141617,474778,70198,616395,2.41,915,182000,302548,8485,28238,67103,463637,141617,474778,28238,31264,56515,286694,23591,87771,64297,474778,616395,302548,8485,28238,26990,67103,463637,222816,0.3,143119,68330
"Oak Harbor, WA Micro Area",#REF!,22946,101540,13708,124486,1.95,856,189300,60110,1198,3193,18844,100285,22946,101540,3193,32280,60528,60903,7493,24460,15635,101540,124486,60110,1198,3193,3282,18844,100285,48251,0.7,4929,2503
"Ocala, FL Metro Area",#REF!,521201,1831225,393436,2352426,2.05,1427,397100,1185957,133422,58689,512424,1637951,521201,1831225,58689,47161,86530,1339320,64754,377240,184531,1831225,2352426,1185957,133422,58689,369773,512424,1637951,814981,0.6,537098,373832
"Ocean City, NJ Metro Area",#REF!,263350,654323,114449,917673,3.03,1103,282100,471707,29332,52716,67987,557144,263350,654323,52716,25500,58217,394273,82285,113105,55409,654323,917673,471707,29332,52716,180478,67987,557144,285141,0.3,100770,157697
"Odessa, TX Metro Area",#REF!,621974,2216353,363769,2838327,2.18,1390,351200,1375152,98920,97224,455933,2107325,621974,2216353,97224,46036,86302,1498482,159618,531210,222531,2216353,2838327,1375152,98920,97224,312703,455933,2107325,1002255,0.5,454252,516019
"Ogden-Clearfield, UT Metro Area",#REF!,27168,125597,19664,152765,1.84,875,184700,75507,1587,2920,21121,123582,27168,125597,2920,32433,56250,79118,8817,26804,18973,125597,152765,75507,1587,2920,5554,21121,123582,61153,0.5,9102,6280
"Ogdensburg-Massena, NY Micro Area",#REF!,14876,50821,7058,65697,2.15,866,217000,33281,500,1957,9428,50029,14876,50821,1957,35247,70914,35265,3479,12913,7553,50821,65697,33281,500,1957,1084,9428,50029,24668,0.3,4810,15015
"Oklahoma City, OK Metro Area",#REF!,33613,198798,18566,232411,2.02,1470,500800,111231,10411,3247,48792,188504,33613,198798,3247,52113,83537,120655,12343,52604,33563,198798,232411,111231,10411,3247,23745,48792,188504,88904,0.2,12537,64094
"Olean, NY Micro Area",#REF!,204108,667797,104215,871905,2.43,1013,213400,425978,19494,43203,109222,645452,204108,667797,43203,32600,58276,417080,55223,131268,93333,667797,871905,425978,19494,43203,40631,109222,645452,312028,0.4,217340,104441
"Olympia-Tumwater, WA Metro Area",#REF!,30348,103471,14323,133819,2.03,821,143400,65443,1314,5854,14648,101033,30348,103471,5854,31145,55192,63492,6786,23764,15395,103471,133819,65443,1314,5854,4772,14648,101033,48890,0.4,6937,38319
"Omaha-Council Bluffs, NE-IA Metro Area",#REF!,19598,83387,10215,102985,1.75,666,115200,51347,,3966,10702,83263,19598,83387,3966,32398,56911,52086,7527,18903,16369,83387,102985,51347,,3966,1321,10702,83263,41579,0.1,4404,35875
"Opelousas, LA Micro Area",#REF!,17608,71705,9749,89313,2.06,805,191600,48104,1082,3468,9569,69742,17608,71705,3468,32738,65773,49013,4310,15911,10626,71705,89313,48104,1082,3468,3189,9569,69742,37100,0.4,6707,20421
"Owosso, MI Micro Area",#REF!,23332,90366,12477,113698,2.25,692,111300,56594,,10796,11086,89460,23332,90366,10796,24228,38737,41825,7780,16426,17379,90366,113698,56594,,10796,1481,11086,89460,44628,0.4,26087,15625
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",#REF!,42885,185946,36413,228831,2.22,1347,506200,113242,3530,6033,34292,177096,42885,185946,6033,39035,72055,118968,11498,34872,20934,185946,228831,113242,3530,6033,19767,34292,177096,87521,0.9,42939,36239
"Paducah, KY-IL Micro Area",#REF!,39450,165351,21045,204801,2.21,1569,543900,103183,5030,5123,39004,158488,39450,165351,5123,44051,79796,105466,11167,41767,20951,165351,204801,103183,5030,5123,13249,39004,158488,77932,0.7,35869,35686
"Palatka, FL Micro Area",#REF!,42632,144405,22134,187037,2.09,925,306400,92949,904,4365,31947,142166,42632,144405,4365,36883,70018,94450,11607,32067,23667,144405,187037,92949,904,4365,3689,31947,142166,70176,0.6,15203,50928
"Palm Bay-Melbourne-Titusville, FL Metro Area",#REF!,47598,197622,34141,245220,1.89,822,135900,120922,4854,8524,27105,192034,47598,197622,8524,33333,56968,123292,17604,37526,33847,197622,245220,120922,4854,8524,14888,27105,192034,94537,1.1,16826,57868
"Panama City, FL Metro Area",#REF!,253960,860302,129438,1114262,2.24,972,208800,538836,12372,53368,160809,839272,253960,860302,53368,34713,60725,541760,26944,179133,128044,860302,1114262,538836,12372,53368,40369,160809,839272,396528,0.4,228945,188454
"Parkersburg-Vienna, WV Metro Area",#REF!,30182,103846,14380,134028,1.85,865,264600,69093,1090,2246,22610,102959,30182,103846,2246,36556,67793,71986,5426,21611,16930,103846,134028,69093,1090,2246,2571,22610,102959,52921,0.3,14008,32512
"Pensacola-Ferry Pass-Brent, FL Metro Area",#REF!,27454,140950,26425,168404,2.39,958,194500,84393,3653,3643,18204,137182,27454,140950,3643,30327,54737,79496,5266,21201,19326,140950,168404,84393,3653,3643,7786,18204,137182,67899,0.3,50286,9360
"Peoria, IL Metro Area",#REF!,36152,134737,24762,170889,2.09,858,183300,84721,6174,2954,31158,128083,36152,134737,2954,38204,69612,89983,5247,27623,16878,134737,170889,84721,6174,2954,13028,31158,128083,61759,0.7,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",#REF!,26566,134755,25829,161321,1.94,973,217500,81535,5830,4877,21713,128010,26566,134755,4877,31666,52588,79973,7173,24883,14628,134755,161321,81535,5830,4877,10091,21713,128010,63099,0.9,31170,25054
"Portland-South Portland, ME Metro Area",#REF!,15467,67492,9356,82959,1.95,858,197800,40524,880,3850,9542,66757,15467,67492,3850,30378,57046,38675,2456,11234,12906,67492,82959,40524,880,3850,2298,9542,66757,32076,1,10800,8039
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",#REF!,21512,83482,10863,104994,2.35,696,99600,52343,,5906,9014,83026,21512,83482,5906,26630,45300,41891,4319,10490,20339,83482,104994,52343,,5906,854,9014,83026,40758,0.1,29156,6399
"Port St. Lucie, FL Metro Area",#REF!,191245,610225,83378,801470,2.36,1222,426800,401657,17454,27330,123786,583304,191245,610225,27330,37785,73343,404472,38982,144894,66687,610225,801470,401657,17454,27330,60326,123786,583304,290128,1.1,89408,181319
"Phoenix-Mesa-Scottsdale, AZ Metro Area",#REF!,952749,3947183,724774,4899932,2.14,1718,561500,2396426,349402,128397,949730,3549748,952749,3947183,128397,54437,100750,2787324,299096,821392,373994,3947183,4899932,2396426,349402,128397,955921,949730,3549748,1708053,0.3,350003,998675
"Pine Bluff, AR Metro Area",#REF!,59617,269926,51965,329543,2.13,1732,654500,166272,10179,6682,75094,253846,59617,269926,6682,54478,90168,185733,13106,55521,28121,269926,329543,166272,10179,6682,33673,75094,253846,127453,1.1,34040,93052
"Pinehurst-Southern Pines, NC Micro Area",#REF!,42894,143213,27942,186107,2.25,807,193400,91980,5995,7624,19651,136999,42894,143213,7624,28245,57057,92044,14559,25777,18210,143213,186107,91980,5995,7624,12141,19651,136999,66133,0.2,46389,18870
"Pittsburgh, PA Metro Area",#REF!,23595,99118,17986,122713,2.09,1315,584500,63473,1891,1360,28404,96432,23595,99118,1360,50644,80763,68646,6551,19412,11398,99118,122713,63473,1891,1360,5465,28404,96432,50477,1.1,,
"Pittsfield, MA Metro Area",#REF!,20609,77300,8186,97909,2.2,817,249300,49819,382,3097,13235,76767,20609,77300,3097,34659,62235,45443,8612,18920,13747,77300,97909,49819,382,3097,1325,13235,76767,38687,0.4,8554,17036
"Plattsburgh, NY Micro Area",#REF!,54568,219746,32393,274314,2.25,1484,473900,140374,3780,6082,45876,213521,54568,219746,6082,46076,87314,123354,13985,51212,22794,219746,274314,140374,3780,6082,19227,45876,213521,110601,0.8,63323,29216
"Pocatello, ID Metro Area",#REF!,210505,749263,118307,959768,2.37,1644,469600,470429,62769,28548,186485,658633,210505,749263,28548,61549,100810,524953,57371,162926,76038,749263,959768,470429,62769,28548,217012,186485,658633,316930,0.2,66157,145935
"Ponce, PR Metro Area",#REF!,123110,299919,47901,423029,2.89,797,103500,207746,22724,29517,35738,246174,123110,299919,29517,20943,48115,182564,9850,34208,53625,299919,423029,207746,22724,29517,96764,35738,246174,122569,,,
"Port Angeles, WA Micro Area",#REF!,24390,90643,15814,115033,2.44,994,180600,55102,2471,6975,12011,88171,24390,90643,6975,32268,54561,51652,3260,15114,15835,90643,115033,55102,2471,6975,5781,12011,88171,41712,,,
"Portsmouth, OH Micro Area",#REF!,233951,928385,162759,1162336,1.94,888,192000,567359,27855,39235,173647,904872,233951,928385,39235,36068,62794,598090,80289,193831,147255,928385,1162336,567359,27855,39235,73523,173647,904872,435932,0.3,45996,427168
"Pottsville, PA Micro Area",#REF!,38531,135346,24137,173877,2.2,894,203000,84146,3658,8112,23813,128441,38531,135346,8112,29819,58400,86112,5148,28847,16359,135346,173877,84146,3658,8112,14624,23813,128441,59567,0.2,34967,28071
"Prescott, AZ Metro Area",#REF!,41758,184957,32944,226715,1.97,1458,347900,112793,5871,4002,45883,178737,41758,184957,4002,43108,81852,127584,14117,39963,20383,184957,226715,112793,5871,4002,14498,45883,178737,87983,0.8,11252,45736
"Providence-Warwick, RI-MA Metro Area",#REF!,27194,87274,10152,114468,2.37,1442,356400,57096,2401,4127,15168,84889,27194,87274,4127,46099,108397,59299,5354,,,87274,114468,57096,2401,4127,6370,15168,84889,42299,0.5,25244,5239
"Provo-Orem, UT Metro Area",#REF!,85726,314799,51177,400525,2.1,780,162400,196379,3233,15386,43312,311162,85726,314799,15386,32660,58810,199231,23584,70906,46249,314799,400525,196379,3233,15386,8069,43312,311162,150551,1.3,26948,124086
"Pueblo, CO Metro Area",#REF!,136093,651883,85010,787976,2.51,1326,286000,388331,40841,31503,113346,600473,136093,651883,31503,39527,66256,356706,25997,127242,108214,651883,787976,388331,40841,31503,141649,113346,600473,290994,0.4,299797,8441
"Punta Gorda, FL Metro Area",#REF!,20424,76032,11236,96456,2.08,794,174600,47112,668,3936,13306,74969,20424,76032,3936,30007,60726,48685,3148,15430,11325,76032,96456,47112,668,3936,1758,13306,74969,36185,,,
"Quincy, IL-MO Micro Area",#REF!,26008,106998,19839,133006,1.96,762,129400,68325,1046,6093,16000,104662,26008,106998,6093,28250,50953,58066,9165,17863,17590,106998,133006,68325,1046,6093,3605,16000,104662,52936,0.7,33830,16627
"Racine, WI Metro Area",#REF!,11843,47150,8853,58993,2.05,908,393500,29786,2263,2678,7168,44015,11843,47150,2678,33719,65330,28994,2280,,,47150,58993,29786,2263,2678,8089,7168,44015,22816,1.3,,
"Raleigh, NC Metro Area",#REF!,19209,60346,8988,79555,1.84,979,243800,41070,,3005,9574,59929,19209,60346,3005,35228,63605,40316,3618,14014,10201,60346,79555,41070,,3005,1370,9574,59929,30603,1.1,6135,24538
"Rapid City, SD Metro Area",#REF!,62741,212694,26486,275435,1.97,820,180700,137924,5896,6648,43393,208145,62741,212694,6648,37157,69923,143480,12799,56737,29245,212694,275435,137924,5896,6648,12468,43393,208145,102594,0.9,21890,78498
"Reading, PA Metro Area",#REF!,18323,66075,7934,84398,2.49,898,330500,43107,308,3910,7060,63780,18323,66075,3910,32732,65047,39007,5222,13936,10434,66075,84398,43107,308,3910,4110,7060,63780,31834,1.2,23918,4131
"Redding, CA Metro Area",#REF!,34389,121900,16436,156289,2.06,911,219400,77602,1731,7050,16261,120306,34389,121900,7050,35718,66715,77897,5496,27779,17866,121900,156289,77602,1731,7050,4821,16261,120306,58224,0.3,32124,11841
"Reno, NV Metro Area",#REF!,43213,179483,40024,222696,1.99,913,182100,110801,13069,4052,27663,163289,43213,179483,4052,33829,59189,115143,11496,28975,22045,179483,222696,110801,13069,4052,24460,27663,163289,79772,0.5,36691,48955
"Richmond, IN Micro Area",#REF!,54234,198708,29796,252942,2.15,832,124600,123737,831,13657,26472,197608,54234,198708,13657,30737,53549,103764,19978,33587,42927,198708,252942,123737,831,13657,3344,26472,197608,95259,0.4,47228,53193
"Richmond, VA Metro Area",#REF!,175400,637652,92324,813052,2.33,1308,315400,395840,14230,27714,139250,618906,175400,637652,27714,39935,72719,417299,32024,143290,80764,637652,813052,395840,14230,27714,43329,139250,618906,298187,0.3,244104,62081
"Richmond-Berea, KY Micro Area",#REF!,626300,2074746,349472,2701046,2.27,1202,286600,1314654,106133,101648,472136,1932524,626300,2074746,101648,39375,71041,1434071,86851,479779,219201,2074746,2701046,1314654,106133,101648,286509,472136,1932524,920098,0.4,564792,434649
"Riverside-San Bernardino-Ontario, CA Metro Area",#REF!,40981,179588,28199,220569,2.11,1356,350000,106177,9539,8502,39923,170511,40981,179588,8502,46407,78819,112028,7312,38506,21634,179588,220569,106177,9539,8502,18550,39923,170511,81164,0.6,57951,16069
"Roanoke, VA Metro Area",#REF!,119377,448018,73233,567395,2.28,959,229500,276601,10782,27179,75299,435158,119377,448018,27179,35136,62385,284799,16252,92691,62929,448018,567395,276601,10782,27179,23851,75299,435158,207689,0.6,158431,56129
"Roanoke Rapids, NC Micro Area",#REF!,22547,78316,14583,100863,1.92,945,297900,50682,765,3126,12757,76738,22547,78316,3126,34538,61381,49274,5181,19777,9368,78316,100863,50682,765,3126,3532,12757,76738,38877,0.5,10848,27172
"Rochester, MN Metro Area",#REF!,2122795,7387595,1250191,9510390,2.22,1225,281100,4686680,362109,326989,1571428,6657653,2122795,7387595,326989,42380,78166,5047781,389915,1569595,850630,7387595,9510390,4686680,362109,326989,1697386,1571428,6657653,3222449,0.2,534341,3004112
"Rochester, NY Metro Area",#REF!,42402,165907,33810,208309,2.32,1238,370700,103229,2822,7313,29261,158350,42402,165907,7313,35198,64738,101850,18146,26714,20829,165907,208309,103229,2822,7313,17124,29261,158350,77318,0.6,27688,37055
"Rockford, IL Metro Area",#REF!,16250,60641,9774,76891,2.1,834,154700,40550,,4396,5388,60381,16250,60641,4396,29067,50395,34957,6217,12137,8639,60641,76891,40550,,4396,355,5388,60381,31965,,14751,9580
"Rocky Mount, NC Metro Area",#REF!,526230,1735435,281018,2261665,2.13,923,217700,1114216,52239,81628,347359,1681977,526230,1735435,81628,38671,70818,1166487,103396,412112,210115,1735435,2261665,1114216,52239,81628,117918,347359,1681977,817629,0.5,359360,460861
"Rome, GA Metro Area",#REF!,18709,71837,8020,90546,2.02,730,124200,45562,,5610,9350,71753,18709,71837,5610,29127,51393,39410,4347,11923,15506,71837,90546,45562,,5610,753,9350,71753,35789,,5999,26606
"Roseburg, OR Micro Area",#REF!,88198,241666,48208,329864,2.71,1017,210100,166709,6497,10685,34637,233561,88198,241666,10685,27258,59255,133689,22068,45563,27697,241666,329864,166709,6497,10685,18660,34637,233561,119022,0.3,90745,22713
"Roswell, NM Micro Area",#REF!,14052,54714,9029,68766,2.25,1109,293600,34421,1247,3942,7808,51381,14052,54714,3942,32903,61221,28405,6348,9707,8736,54714,68766,34421,1247,3942,8139,7808,51381,26215,0.4,12009,1810
"Russellville, AR Micro Area",#REF!,27351,102504,14795,129855,2.37,852,213100,63795,514,7727,10656,100434,27351,102504,7727,30289,56350,59709,4170,19969,15472,102504,129855,63795,514,7727,6319,10656,100434,49122,1,41333,5226
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",#REF!,432068,1643594,306080,2075662,1.98,887,184500,1010293,35807,80440,303162,1602642,432068,1643594,80440,37729,62315,1074365,121938,355375,228650,1643594,2075662,1010293,35807,80440,121509,303162,1602642,764600,0.6,153944,688974
"Saginaw, MI Metro Area",#REF!,40887,138902,17842,179789,2.35,1176,444900,90011,332,7184,22306,137839,40887,138902,7184,35728,67593,88517,8586,32899,17030,138902,179789,90011,332,7184,3780,22306,137839,67698,0.3,21990,37850
"Salisbury, MD-DE Metro Area",#REF!,56383,214643,47443,271026,2.33,1036,245000,136194,11679,9643,34023,197629,56383,214643,9643,29890,49927,133468,6193,28816,23658,214643,271026,136194,11679,9643,29129,34023,197629,96785,0.2,,
"Salt Lake City, UT Metro Area",#REF!,177094,585698,96635,762792,2.31,1465,397900,387807,11243,14952,126999,567652,177094,585698,14952,39422,79014,375515,48614,143193,54986,585698,762792,387807,11243,14952,52695,126999,567652,288503,0.8,73792,201520
"San Angelo, TX Metro Area",#REF!,43639,169157,32669,212796,2.11,939,217900,103957,6261,4211,34105,163939,43639,169157,4211,33909,61781,112792,6413,34151,18126,169157,212796,103957,6261,4211,11879,34105,163939,79004,0.3,37480,38263
"San Antonio-New Braunfels, TX Metro Area",#REF!,183879,652445,101405,836324,2.26,986,185800,409237,14810,33806,120236,632216,183879,652445,33806,32025,58213,418706,35334,145736,87172,652445,836324,409237,14810,33806,43540,120236,632216,302473,0.3,243301,75078
"San Diego-Carlsbad, CA Metro Area",#REF!,79049,247442,56256,326491,2.35,899,171600,159586,4002,16974,33873,241753,79049,247442,16974,27650,52802,134302,13729,44107,26884,247442,326491,159586,4002,16974,13724,33873,241753,117070,0.3,83167,36920
"Sandusky, OH Micro Area",#REF!,19927,62548,9291,82475,2.09,1015,191100,42755,4722,2520,11013,56769,19927,62548,2520,38547,73564,44184,3450,15437,7790,62548,82475,42755,4722,2520,8398,11013,56769,27896,,13304,15882
"San Francisco-Oakland-Hayward, CA Metro Area",#REF!,502765,1648252,328296,2151017,2.22,1078,254700,1066414,91005,70166,354227,1561716,502765,1648252,70166,38693,71839,1142286,107550,365640,162257,1648252,2151017,1066414,91005,70166,205552,354227,1561716,762538,1.2,240177,549400
"San Germ\u00E1n, PR Metro Area",#REF!,28620,126618,15888,155238,2.03,1119,304900,77019,1754,4358,26179,124043,28620,126618,4358,40245,80918,84174,7026,27005,15840,126618,155238,77019,1754,4358,5520,26179,124043,61138,0.6,7244,15298
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",#REF!,22802,93724,16004,116526,2.22,745,187700,57962,966,6382,12419,91300,22802,93724,6382,28606,50660,59729,7707,15786,16026,93724,116526,57962,966,6382,3688,12419,91300,45196,0.3,,
"San Juan-Carolina-Caguas, PR Metro Area",#REF!,19999,72949,10064,92948,1.96,815,123700,46582,650,3777,8608,71986,19999,72949,3777,34073,57378,44286,6281,14610,14826,72949,92948,46582,650,3777,2064,8608,71986,35593,0.7,5156,20246
"St. Cloud, MN Metro Area",#REF!,103837,318941,60137,422778,2.52,1105,168500,211374,11611,23659,43586,299294,103837,318941,23659,29683,59853,198848,11343,49378,43604,318941,422778,211374,11611,23659,34759,43586,299294,148877,0.1,,
"St. George, UT Metro Area",#REF!,15043,80974,18785,96017,2.11,1190,443100,48131,4248,1198,15482,75700,15043,80974,1198,36512,64163,48072,4987,,,80974,96017,48131,4248,1198,8650,15482,75700,37818,1,21438,15063
"St. Joseph, MO-KS Metro Area",#REF!,64302,229022,36247,293324,2.24,1336,314300,145758,5725,8829,47120,220702,64302,229022,8829,40491,67029,134182,10602,49566,32625,229022,293324,145758,5725,8829,21354,47120,220702,110508,0.6,92156,21982
"St. Louis, MO-IL Metro Area",#REF!,19686,69810,8443,89496,2.59,799,165900,44331,,5451,8895,68751,19686,69810,5451,28024,55517,43615,2282,,,69810,89496,44331,,5451,1685,8895,68751,33921,,26090,4415
"Salem, OH Micro Area",#REF!,16542,78044,12100,94586,1.87,644,149500,49288,713,4190,7710,77049,16542,78044,4190,33219,51440,40352,5335,14725,13254,78044,94586,49288,713,4190,1808,7710,77049,40419,1.4,13807,16881
"Salem, OR Metro Area",#REF!,1967676,5791939,1139991,7759615,2.36,1304,294900,3838626,495150,325037,1255094,5007619,1967676,5791939,325037,39141,75975,4119731,187580,1079035,617866,5791939,7759615,3838626,495150,325037,1480805,1255094,5007619,2428095,0.3,1781390,974465
"Salinas, CA Metro Area",#REF!,35204,107595,15759,142799,2.66,803,162100,73385,1580,12089,8118,95120,35204,107595,12089,24604,54289,68050,3810,17988,16833,107595,142799,73385,1580,12089,20562,8118,95120,46997,,,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",#REF!,17075,56020,8856,73095,2.47,741,79700,36063,,3322,5256,55723,17075,56020,3322,26667,49091,29822,4412,7894,12257,56020,73095,36063,,3322,2223,5256,55723,27925,0.3,10579,15267
"Santa Cruz-Watsonville, CA Metro Area",#REF!,20296,81891,13700,102187,2.3,781,120900,49046,,8017,8077,80752,20296,81891,8017,26597,44787,44760,6057,13543,15711,81891,102187,49046,,8017,1811,8077,80752,38108,,28800,6739
"Santa Fe, NM Metro Area",#REF!,50629,188665,22725,239294,2.24,1096,255800,115696,3536,11552,36525,185566,50629,188665,11552,35824,63866,113557,6237,41800,29580,188665,239294,115696,3536,11552,7980,36525,185566,90007,1,,
"Santa Maria-Santa Barbara, CA Metro Area",#REF!,86756,294691,44602,381447,2.15,826,152000,188822,6478,13125,48406,286251,86756,294691,13125,36081,61166,190135,20554,67182,47349,294691,381447,188822,6478,13125,21209,48406,286251,139369,0.5,29939,118468
"Santa Rosa, CA Metro Area",#REF!,178695,634821,115963,813516,2.16,861,169300,397647,15619,26052,100278,619359,178695,634821,26052,34193,61986,405204,42279,140639,81903,634821,813516,397647,15619,26052,40524,100278,619359,296991,0.6,104993,209671
"Savannah, GA Metro Area",#REF!,35844,120914,15139,156758,2.39,637,165800,76714,2912,8951,16144,116804,35844,120914,8951,29872,57041,69149,3256,23808,21849,120914,156758,76714,2912,8951,6459,16144,116804,56920,,41529,13546
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",#REF!,22791,79641,13656,102432,2.04,719,110800,48916,,4108,9198,78108,22791,79641,4108,30634,46807,46642,5396,14880,15378,79641,102432,48916,,4108,2476,9198,78108,36731,0.1,9374,31919
"Searcy, AR Micro Area",#REF!,119270,566074,72156,685344,2.36,1161,255900,334452,15090,26457,91058,544019,119270,566074,26457,32610,59171,303042,26954,124531,94844,566074,685344,334452,15090,26457,60651,91058,544019,262620,0.5,273178,10760
