CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,Estimate of ages above 25yrs with a high school degree,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP02_0061E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Environmental,Environmental
"Birmingham-Hoover, AL Metro Area",#REF!,18345,58833,12182,77178,1.98,1010,230000,40830,1490,1369,10892,57728,18345,58833,1369,35080,70598,36289,1843,11544,8469,58833,77178,40830,1490,1369,2361,10892,57728,30500,0.4,11389,16714
"Bismarck, ND Metro Area",#REF!,21986,97547,22094,119533,1.96,1034,405300,60507,1526,1693,21764,96075,21986,97547,1693,43316,66803,69021,7882,19613,10250,97547,119533,60507,1526,1693,3477,21764,96075,47876,0.9,17686,27096
"Blacksburg-Christiansburg-Radford, VA Metro Area",#REF!,100694,330020,59144,430714,2.34,923,159100,207434,5330,22905,38093,323783,100694,330020,22905,27518,49691,197567,11834,64805,45028,330020,430714,207434,5330,22905,13913,38093,323783,152354,0.6,104743,59987
"Bay City, MI Metro Area",#REF!,148934,404065,66949,552999,3.12,1358,397200,276980,22245,34999,46077,343527,148934,404065,34999,30721,73982,261645,39439,70360,36900,404065,552999,276980,22245,34999,120574,46077,343527,167866,0.3,49617,114334
"Beaumont-Port Arthur, TX Metro Area",#REF!,47239,157645,28420,204884,2.32,794,160300,99718,1235,13864,20793,156142,47239,157645,13864,25442,45001,93148,16809,24766,27148,157645,204884,99718,1235,13864,2991,20793,156142,73494,0.4,54318,23285
"Beaver Dam, WI Micro Area",#REF!,32803,122471,11445,155274,1.85,893,205100,77365,815,7099,15478,121217,32803,122471,7099,33767,65512,72823,6342,30684,19445,122471,155274,77365,815,7099,3264,15478,121217,59805,0.4,5646,49756
"Beckley, WV Metro Area",#REF!,89794,297020,52716,386814,2.34,944,160000,183676,7902,22758,44882,287631,89794,297020,22758,29315,52677,177434,9967,59272,39008,297020,386814,183676,7902,22758,16073,44882,287631,133855,0.2,86575,54831
"Bloomington, IL Metro Area",#REF!,11384,57157,7213,68541,1.84,871,266300,34287,632,3133,9864,56182,11384,57157,3133,35660,62907,31492,2753,12824,10552,57157,68541,34287,632,3133,2625,9864,56182,27334,0.4,26780,998
"Bloomington, IN Metro Area",#REF!,24891,115854,19937,140745,2.22,842,209500,73097,3013,4575,17772,113018,24891,115854,4575,34352,58274,69647,7163,19667,16416,115854,140745,73097,3013,4575,5100,17772,113018,57839,0.9,21193,25011
"Bloomsburg-Berwick, PA Metro Area",#REF!,31424,112431,16101,143855,2.49,759,168500,71511,1887,10335,11790,108764,31424,112431,10335,25041,43213,63395,7930,20127,17697,112431,143855,71511,1887,10335,6155,11790,108764,52903,,44443,7159
"Bluefield, WV-VA Micro Area",#REF!,28675,71622,13816,100297,2.83,991,274700,51169,2730,3748,7827,60342,28675,71622,3748,29979,62227,47238,7781,12554,9202,71622,100297,51169,2730,3748,17118,7827,60342,30252,0.2,,
"Boise City, ID Metro Area",#REF!,15071,56081,7895,71152,2.24,677,152000,34813,,4426,6460,52934,15071,56081,4426,33090,51950,32965,1887,10784,11638,56081,71152,34813,,4426,4172,6460,52934,25333,,22118,1048
"Boston-Cambridge-Newton, MA-NH Metro Area",#REF!,27829,102867,15001,130696,2.26,1146,471500,65696,2108,4490,16437,96535,27829,102867,4490,38352,72648,58983,7087,22851,14119,102867,130696,65696,2108,4490,12476,16437,96535,48248,1.1,21149,20950
