CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"Ashtabula, OH Micro Area",2023,0.82,27.63,1.25,11.15,65.60,100.00,0.80,0.20,100.00,11.52,100.00,7.88,100.00,1.70,38.23
"Searcy, AR Micro Area",2023,1.43,39.63,0.48,11.82,73.35,100.00,0.91,0.00,100.00,7.25,0.00,18.53,100.00,0.00,49.95
"Santa Maria-Santa Barbara, CA Metro Area",2023,4.15,46.45,0.00,13.13,71.28,0.00,0.00,0.00,100.00,6.68,0.00,13.68,100.00,2.24,33.27
"Green Bay, WI Metro Area",2023,0.00,45.97,0.43,15.27,69.35,100.00,0.35,0.00,100.00,8.78,100.00,11.48,100.00,0.00,32.73
"Louisville\/Jefferson County, KY-IN Metro Area",2023,2.40,37.45,0.00,11.85,71.17,0.00,12.88,0.00,100.00,7.88,0.00,8.00,0.00,2.67,18.87
"Johnson City, TN Metro Area",2023,0.83,43.45,0.53,11.83,64.95,100.00,0.83,0.00,100.00,6.33,0.00,20.03,100.00,4.70,43.28
"Blacksburg-Christiansburg-Radford, VA Metro Area",2023,2.68,30.85,0.50,10.20,67.70,100.00,0.55,0.00,100.00,6.78,36.33,13.77,100.00,11.15,37.38
"Fargo, ND-MN Metro Area",2023,1.07,48.82,0.28,16.30,79.25,100.00,33.42,0.00,100.00,10.65,5.00,10.77,100.00,1.92,21.78
"Phoenix-Mesa-Scottsdale, AZ Metro Area",2023,5.68,42.38,0.00,11.22,71.97,0.00,0.10,0.53,100.00,9.03,100.00,19.23,100.00,14.87,46.53
"Jamestown-Dunkirk-Fredonia, NY Micro Area",2023,0.37,35.78,2.95,8.83,64.27,100.00,0.50,0.02,100.00,8.75,0.00,11.53,100.00,2.55,29.02
"Atlantic City-Hammonton, NJ Metro Area",2023,0.20,40.27,0.78,10.18,62.28,0.00,0.73,0.00,100.00,7.28,0.00,11.38,0.00,0.00,52.57
"Orangeburg, SC Micro Area",2023,0.13,43.13,0.25,12.27,72.42,41.75,0.62,0.33,100.00,7.90,100.00,7.05,100.00,0.00,25.73
"Russellville, AR Micro Area",2023,0.00,34.58,1.58,8.95,65.75,100.00,0.50,0.10,100.00,8.03,100.00,13.35,100.00,8.17,43.77
"Homosassa Springs, FL Metro Area",2023,0.00,31.80,1.52,8.82,59.27,0.00,0.73,0.00,100.00,9.00,0.00,8.43,0.00,0.02,23.92
"Waco, TX Metro Area",2023,0.00,37.63,0.91,11.15,63.80,100.00,0.72,0.00,100.00,6.88,0.00,11.43,100.00,6.20,17.12
"Cumberland, MD-WV Metro Area",2023,0.00,40.18,1.17,10.12,58.80,100.00,0.62,0.00,100.00,10.45,0.00,12.77,100.00,0.00,45.77
"Wisconsin Rapids-Marshfield, WI Micro Area",2023,0.00,45.52,0.42,12.62,71.22,100.00,0.83,0.03,100.00,6.87,39.58,19.07,0.00,1.52,31.18
"Ottawa-Peru, IL Micro Area",2023,2.60,43.60,1.08,11.42,72.73,0.00,1.88,0.18,100.00,10.77,60.83,12.18,100.00,12.47,32.60
"Grand Junction, CO Metro Area",2023,1.46,39.75,0.20,11.43,66.15,100.00,24.15,0.11,100.00,9.67,100.00,12.50,100.00,1.08,46.52
"Casper, WY Metro Area",2023,2.92,42.08,3.27,10.95,69.92,100.00,1.00,0.00,100.00,8.83,100.00,20.68,100.00,5.87,48.02
"Opelousas, LA Micro Area",2023,0.00,38.62,1.22,12.68,72.15,100.00,0.52,0.04,100.00,5.98,31.75,17.63,100.00,14.50,57.73
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2023,2.48,44.65,0.22,13.75,75.17,88.17,0.53,0.38,100.00,6.48,100.00,19.32,100.00,10.36,44.18
"Hanford-Corcoran, CA Metro Area",2023,0.45,37.83,0.12,12.10,70.77,0.00,0.40,0.35,100.00,6.18,100.00,4.30,100.00,0.00,20.77
"Hermiston-Pendleton, OR Micro Area",2023,0.00,48.63,0.67,13.27,69.78,100.00,11.39,0.13,100.00,12.73,100.00,20.80,100.00,3.97,58.57
"Carson City, NV Metro Area",2023,0.39,43.32,0.23,11.70,73.47,100.00,0.53,0.00,100.00,7.25,19.11,22.15,100.00,5.23,65.33
"Marion, IN Micro Area",2023,0.00,43.87,0.60,8.60,64.03,100.00,7.53,0.00,49.17,10.17,0.00,22.77,4.00,3.37,33.43
"Fort Collins, CO Metro Area",2023,2.58,38.63,0.77,10.10,75.75,100.00,0.88,2.23,100.00,8.17,100.00,14.97,100.00,10.37,42.85
"Albany, OR Metro Area",2023,2.50,33.30,0.68,9.72,71.15,100.00,0.51,0.05,100.00,5.72,16.50,6.03,100.00,31.46,27.12
"Manchester-Nashua, NH Metro Area",2023,0.00,46.80,0.00,14.20,75.13,100.00,1.82,0.27,100.00,6.22,100.00,26.33,100.00,12.17,63.90
"Texarkana, TX-AR Metro Area",2023,9.82,42.98,0.00,11.35,69.97,0.00,0.01,0.03,100.00,9.22,13.67,17.98,100.00,0.00,45.13
"New Castle, PA Micro Area",2023,0.00,28.65,1.58,7.72,63.33,100.00,0.92,0.00,100.00,6.58,44.50,8.30,100.00,0.00,30.05
"Talladega-Sylacauga, AL Micro Area",2023,0.00,42.85,0.00,11.78,71.12,38.25,0.72,0.00,100.00,9.70,0.00,10.75,0.00,0.00,40.98
"Yakima, WA Metro Area",2023,0.00,42.47,0.51,13.07,72.45,100.00,1.02,0.00,100.00,7.36,7.83,9.73,0.00,0.00,34.02
"Idaho Falls, ID Metro Area",2023,1.35,44.60,0.00,12.97,69.95,100.00,0.53,0.00,100.00,8.13,0.00,33.83,100.00,1.03,68.47
"Mobile, AL Metro Area",2023,2.69,40.00,0.59,10.52,70.70,100.00,0.39,0.08,100.00,8.43,100.00,23.30,100.00,21.08,51.83
"Martinsville, VA Micro Area",2023,0.00,37.35,1.05,9.03,69.35,100.00,0.27,0.00,100.00,11.90,0.00,14.73,100.00,0.00,31.53
"Seattle-Tacoma-Bellevue, WA Metro Area",2023,0.69,39.07,0.00,12.40,76.27,100.00,0.85,0.00,100.00,7.48,0.00,15.75,0.00,0.00,40.65
"Shelby, NC Micro Area",2023,0.93,36.32,1.55,11.67,68.87,100.00,1.47,0.92,100.00,8.75,100.00,16.53,100.00,9.10,46.33
"Paducah, KY-IL Micro Area",2023,0.00,39.72,7.82,12.93,66.90,100.00,0.00,0.00,100.00,6.55,100.00,15.28,100.00,5.58,61.55
"Mount Pleasant, MI Micro Area",2023,0.00,47.33,0.12,11.18,65.00,100.00,1.16,0.00,100.00,6.05,21.50,25.13,100.00,0.00,49.73
"Dunn, NC Micro Area",2023,0.00,41.05,0.87,11.47,61.20,100.00,0.96,0.00,100.00,8.15,100.00,12.73,100.00,0.00,29.57
"Springfield, MA Metro Area",2023,3.05,42.02,1.10,14.95,61.32,100.00,0.92,0.00,100.00,8.58,0.00,17.83,100.00,0.00,50.12
"Durham-Chapel Hill, NC Metro Area",2023,0.00,42.10,0.50,10.95,62.93,100.00,1.48,0.00,100.00,7.07,100.00,13.55,100.00,0.00,41.55
"Coos Bay, OR Micro Area",2023,0.00,38.32,0.52,9.57,68.45,100.00,0.75,0.03,100.00,8.28,41.08,9.30,100.00,0.00,44.23
"Worcester, MA-CT Metro Area",2023,0.00,44.30,0.73,13.37,73.32,100.00,1.17,0.00,100.00,5.90,23.00,11.68,0.00,0.00,28.42
"Des Moines-West Des Moines, IA Metro Area",2023,1.83,43.70,0.12,13.22,69.47,100.00,0.55,0.15,100.00,9.50,51.50,19.30,100.00,1.83,40.60
"Morgantown, WV Metro Area",2023,5.65,44.87,0.00,13.15,78.27,19.67,0.20,0.00,100.00,7.72,0.00,17.87,100.00,1.73,68.77
"Truckee-Grass Valley, CA Micro Area",2023,0.00,39.27,0.00,9.75,71.87,100.00,0.77,0.13,100.00,9.15,61.67,15.90,100.00,1.78,49.32
"Palm Bay-Melbourne-Titusville, FL Metro Area",2023,2.62,40.02,0.33,14.07,73.47,100.00,0.68,0.23,100.00,8.23,100.00,9.98,100.00,5.93,42.22
"Mount Airy, NC Micro Area",2023,1.55,50.03,0.47,12.75,63.03,80.25,1.43,0.18,100.00,6.17,80.00,32.48,100.00,0.00,70.27
"Gainesville, GA Metro Area",2023,0.26,34.52,0.10,9.25,63.47,100.00,0.79,0.28,100.00,9.10,100.00,18.28,100.00,7.43,46.35
"Roanoke, VA Metro Area",2023,3.08,47.18,0.50,15.22,74.37,0.00,0.28,0.05,100.00,7.28,100.00,16.98,100.00,52.13,49.45
"Terre Haute, IN Metro Area",2023,13.73,46.35,0.28,13.27,78.80,0.00,0.28,0.03,100.00,9.78,13.67,13.12,100.00,0.73,45.35
"Lubbock, TX Metro Area",2023,4.07,39.97,0.00,12.58,73.10,0.00,8.72,0.00,100.00,7.28,0.00,9.52,100.00,5.03,30.37
"Tuscaloosa, AL Metro Area",2023,2.23,39.78,1.38,11.00,61.00,75.58,0.88,0.43,100.00,8.30,100.00,13.47,100.00,8.29,31.87
"Chambersburg-Waynesboro, PA Metro Area",2023,0.00,41.62,1.24,12.25,62.18,100.00,0.88,0.00,100.00,6.83,100.00,8.80,100.00,0.00,22.57
"Helena, MT Micro Area",2023,0.00,45.33,0.22,11.88,65.82,100.00,7.67,0.07,100.00,11.78,0.00,21.82,100.00,0.00,54.42
"DuBois, PA Micro Area",2023,0.00,34.50,0.67,9.65,69.10,100.00,1.54,0.00,100.00,10.57,0.00,9.33,100.00,0.00,24.53
"Sioux City, IA-NE-SD Metro Area",2023,0.00,35.93,2.93,10.72,62.88,100.00,2.86,0.00,100.00,7.98,100.00,14.35,100.00,0.17,25.00
"Lancaster, PA Metro Area",2023,0.00,35.83,0.90,8.23,65.12,100.00,0.90,0.00,100.00,7.50,0.00,11.85,100.00,8.25,24.50
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2023,2.63,40.67,0.00,13.25,74.67,100.00,1.60,2.03,100.00,7.25,100.00,16.73,100.00,31.15,38.88
"Rome, GA Metro Area",2023,2.56,44.85,1.38,14.33,76.93,100.00,0.58,2.79,100.00,7.93,100.00,16.15,100.00,28.14,46.18
"Shawnee, OK Micro Area",2023,2.79,41.48,1.20,10.55,62.70,100.00,1.13,1.02,100.00,8.12,100.00,18.25,100.00,10.62,60.67
"El Centro, CA Metro Area",2023,0.07,48.72,0.00,12.33,66.08,100.00,15.88,0.00,100.00,8.20,0.00,23.70,100.00,0.00,53.83
"Redding, CA Metro Area",2023,0.00,43.22,0.72,12.32,74.87,100.00,0.77,0.00,100.00,6.40,100.00,13.17,100.00,3.33,60.12
"Hinesville, GA Metro Area",2023,1.88,35.53,0.90,8.13,67.93,0.00,0.00,1.13,100.00,7.52,100.00,9.95,100.00,14.05,33.32
"Anchorage, AK Metro Area",2023,0.90,44.48,0.00,12.77,76.12,25.00,0.44,0.00,100.00,8.92,0.00,17.95,100.00,0.00,55.62
"Bend-Redmond, OR Metro Area",2023,0.00,39.45,1.85,9.48,71.32,100.00,1.36,0.13,100.00,9.67,83.67,8.52,0.00,10.16,17.97
"Monroe, LA Metro Area",2023,2.38,34.97,0.16,11.65,71.67,0.00,0.51,0.23,100.00,8.25,100.00,15.97,100.00,15.23,35.27
"Stockton-Lodi, CA Metro Area",2023,0.00,47.03,1.42,14.57,75.92,100.00,1.87,0.13,100.00,9.48,57.00,14.05,100.00,0.48,37.85
"Brownsville-Harlingen, TX Metro Area",2023,1.31,41.62,0.93,12.22,65.00,100.00,1.33,0.03,100.00,8.68,100.00,17.32,100.00,0.00,29.10
"Chillicothe, OH Micro Area",2023,0.00,36.67,0.67,10.68,68.12,100.00,0.55,0.13,100.00,11.62,100.00,14.33,100.00,10.12,32.70
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2023,2.75,32.75,0.92,11.32,65.00,100.00,0.50,0.45,100.00,8.28,100.00,13.32,100.00,4.07,42.13
"Sumter, SC Metro Area",2023,0.00,49.90,0.10,16.93,82.35,0.00,2.84,0.15,100.00,9.92,67.75,9.53,100.00,0.00,13.72
"Hartford-West Hartford-East Hartford, CT Metro Area",2023,0.00,42.43,0.10,10.93,64.23,26.17,0.32,0.00,100.00,7.75,0.00,17.27,0.00,0.00,44.63
"Flint, MI Metro Area",2023,0.00,43.20,0.00,10.95,72.60,100.00,0.87,0.02,100.00,8.03,100.00,17.40,100.00,0.10,50.92
"Athens, TX Micro Area",2023,0.00,32.18,1.45,11.58,69.68,100.00,0.79,0.58,100.00,11.28,100.00,15.75,100.00,3.27,47.42
"Tallahassee, FL Metro Area",2023,3.81,42.15,0.02,13.97,77.62,71.25,0.68,0.00,100.00,9.55,0.00,10.58,0.00,0.23,44.28
"LaGrange, GA Micro Area",2023,7.68,44.48,1.70,14.67,73.20,100.00,14.80,0.20,100.00,12.00,100.00,19.87,100.00,6.73,57.77
"Greenfield Town, MA Micro Area",2023,3.23,37.18,0.70,11.75,68.12,100.00,0.12,0.00,100.00,10.54,0.00,13.20,100.00,30.20,37.48
"Santa Rosa, CA Metro Area",2023,5.42,46.33,0.00,11.67,73.62,0.00,0.00,0.00,100.00,9.37,0.00,14.90,100.00,1.03,46.77
"Elizabeth City, NC Micro Area",2023,2.15,40.88,0.37,13.85,76.18,100.00,0.00,0.00,100.00,9.12,0.00,8.30,100.00,0.00,36.32
"Hilo, HI Micro Area",2023,0.00,43.35,0.65,12.37,69.28,100.00,0.00,0.73,100.00,8.55,100.00,12.37,100.00,4.42,30.98
"Lake Charles, LA Metro Area",2023,1.20,43.78,1.61,13.67,73.07,100.00,21.75,0.30,100.00,8.63,100.00,17.00,100.00,8.28,33.00
"Auburn-Opelika, AL Metro Area",2023,0.00,42.27,0.15,11.28,62.68,0.00,0.80,0.82,100.00,7.68,100.00,15.12,100.00,5.28,51.47
"Ocala, FL Metro Area",2023,0.72,35.38,0.17,9.77,69.70,100.00,0.32,0.00,100.00,8.67,0.00,16.67,100.00,10.73,40.63
"Twin Falls, ID Metro Area",2023,0.73,44.00,0.00,10.77,72.23,100.00,1.03,2.78,100.00,9.85,100.00,16.33,100.00,10.93,33.98
"Tulsa, OK Metro Area",2023,2.06,37.90,1.18,11.57,68.02,0.00,0.64,0.16,100.00,7.72,100.00,14.28,100.00,16.35,32.53
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2023,0.45,43.23,0.00,11.27,75.67,0.00,0.00,1.38,100.00,8.67,100.00,16.45,0.00,6.80,44.17
"Lewiston-Auburn, ME Metro Area",2023,1.55,36.15,0.28,10.37,67.68,100.00,0.70,0.00,100.00,8.47,0.00,12.70,100.00,0.00,32.78
"California-Lexington Park, MD Metro Area",2023,0.00,45.17,0.13,10.40,65.17,100.00,0.88,0.05,100.00,12.62,100.00,23.17,100.00,0.00,52.43
"Lake Havasu City-Kingman, AZ Metro Area",2023,0.20,36.10,0.87,9.30,63.35,100.00,1.15,0.05,100.00,8.65,100.00,9.25,100.00,0.25,16.43
"Johnstown, PA Metro Area",2023,2.29,43.90,0.42,12.35,65.22,100.00,0.52,0.00,100.00,7.88,0.00,21.00,100.00,12.88,58.42
"Longview, WA Metro Area",2023,1.53,35.80,0.53,11.73,68.25,100.00,0.44,2.16,100.00,8.58,100.00,10.07,100.00,15.38,25.13
"Lebanon, PA Metro Area",2023,0.42,35.33,2.23,11.13,71.22,100.00,0.86,0.00,100.00,9.07,100.00,13.20,100.00,0.00,46.30
"Florence, SC Metro Area",2023,0.00,35.25,0.00,10.27,70.67,100.00,0.70,0.02,100.00,7.02,100.00,12.00,100.00,0.07,35.87
"Laredo, TX Metro Area",2023,0.00,40.70,0.06,8.93,62.55,100.00,0.53,0.00,100.00,9.27,0.00,17.52,0.00,0.00,40.15
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",2023,0.19,37.68,0.62,8.97,61.48,100.00,0.87,0.08,100.00,11.28,100.00,15.68,100.00,2.73,45.62
"Bismarck, ND Metro Area",2023,2.68,29.35,0.40,9.20,66.08,100.00,0.62,0.00,100.00,6.62,0.00,10.60,100.00,8.88,32.52
"Warner Robins, GA Metro Area",2023,0.00,35.90,0.77,11.78,72.62,100.00,0.72,0.02,100.00,7.92,40.67,13.15,100.00,8.22,30.13
"Danville, VA Micro Area",2023,17.81,42.63,0.23,11.35,74.70,100.00,0.98,0.29,100.00,7.40,100.00,26.13,100.00,14.31,67.65
"Charlottesville, VA Metro Area",2023,2.50,39.58,0.00,12.63,72.90,57.50,1.00,1.98,100.00,6.20,100.00,17.58,100.00,32.80,44.63
"Rochester, NY Metro Area",2023,0.00,39.85,0.72,11.77,67.93,100.00,1.35,0.00,100.00,6.23,0.00,17.68,100.00,0.00,30.43
"Corpus Christi, TX Metro Area",2023,0.00,38.37,0.68,10.35,71.60,28.67,0.54,0.00,100.00,9.47,100.00,10.15,100.00,0.00,40.43
"St. George, UT Metro Area",2023,0.77,36.63,0.00,9.07,63.22,100.00,0.00,0.69,100.00,10.08,100.00,12.70,100.00,3.99,55.05
"Ocean City, NJ Metro Area",2023,0.00,36.42,0.00,7.38,62.77,100.00,0.38,0.00,100.00,8.38,13.00,21.30,100.00,9.73,52.58
"Oak Harbor, WA Micro Area",2023,0.87,40.22,0.17,10.78,69.47,36.83,1.02,0.00,100.00,9.35,0.00,13.28,100.00,13.48,24.62
"San Germ\u00E1n, PR Metro Area",2023,5.77,31.95,0.00,9.20,60.68,0.00,0.00,0.07,100.00,13.95,0.00,11.23,100.00,7.67,35.98
"Corning, NY Micro Area",2023,0.00,39.57,0.63,10.32,67.13,100.00,0.53,0.00,100.00,8.37,0.00,10.20,100.00,0.00,45.63
"Harrisburg-Carlisle, PA Metro Area",2023,0.13,38.73,0.13,11.68,70.83,0.00,0.48,0.00,100.00,6.42,0.00,9.47,0.00,0.00,35.08
"Quincy, IL-MO Micro Area",2023,0.00,39.30,0.52,10.68,70.72,100.00,1.03,0.00,100.00,7.43,43.00,11.82,100.00,0.13,25.30
"San Juan-Carolina-Caguas, PR Metro Area",2023,4.40,31.55,0.00,9.58,65.57,0.00,0.00,0.83,100.00,11.57,100.00,13.08,100.00,13.11,35.27
"Sherman-Denison, TX Metro Area",2023,0.00,30.77,1.75,8.38,67.37,100.00,0.69,0.15,100.00,8.92,100.00,7.10,100.00,4.48,26.35
"Lincoln, NE Metro Area",2023,3.72,46.05,0.52,13.80,74.70,28.83,1.05,0.25,100.00,8.73,100.00,16.33,100.00,7.25,48.62
"Salinas, CA Metro Area",2023,0.57,38.40,0.55,11.80,71.88,100.00,0.38,0.58,100.00,6.87,100.00,12.35,100.00,3.22,47.45
"Stevens Point, WI Micro Area",2023,0.00,39.88,1.67,10.22,69.08,100.00,0.82,0.96,100.00,8.53,100.00,15.95,100.00,4.15,67.92
"Huntsville, AL Metro Area",2023,4.77,44.30,0.37,12.70,72.48,73.33,0.62,0.05,100.00,7.32,8.17,14.07,100.00,8.10,42.97
"Staunton-Waynesboro, VA Metro Area",2023,0.00,36.28,0.00,10.37,68.32,100.00,0.98,0.43,100.00,9.42,100.00,12.82,100.00,0.00,54.75
"Riverside-San Bernardino-Ontario, CA Metro Area",2023,0.12,48.62,0.80,14.55,73.85,0.00,0.23,0.00,100.00,7.45,0.00,20.48,0.00,0.33,46.13
"Augusta-Richmond County, GA-SC Metro Area",2023,2.85,49.05,0.27,13.00,65.93,0.00,0.80,1.20,100.00,7.63,100.00,19.65,100.00,10.17,37.77
"Columbus, IN Metro Area",2023,4.95,38.37,0.85,10.50,64.67,100.00,0.58,0.02,100.00,10.05,17.00,18.95,100.00,1.65,61.22
"Macon-Bibb County, GA Metro Area",2023,2.83,32.33,0.37,10.35,69.88,100.00,14.73,0.07,100.00,10.25,100.00,18.02,100.00,12.66,45.23
"Fayetteville, NC Metro Area",2023,0.00,44.40,0.30,14.80,87.73,100.00,0.82,0.00,100.00,12.33,0.00,12.63,0.00,1.80,29.73
"Dayton, OH Metro Area",2023,1.25,38.08,0.82,11.78,69.65,100.00,0.77,0.02,100.00,15.23,5.17,11.57,100.00,0.33,28.32
"Beaver Dam, WI Micro Area",2023,0.00,43.30,0.53,12.78,66.78,100.00,1.90,0.15,100.00,9.08,96.50,16.08,100.00,0.00,39.98
"Kalamazoo-Portage, MI Metro Area",2023,0.88,51.27,0.00,12.90,70.77,100.00,1.62,0.00,100.00,8.64,0.00,15.12,100.00,0.00,39.70
"Dothan, AL Metro Area",2023,1.33,40.90,0.15,12.63,73.87,100.00,0.39,0.15,100.00,11.13,67.75,19.63,100.00,2.19,35.32
"Marshall, TX Micro Area",2023,0.00,38.90,1.32,9.77,66.75,100.00,0.21,0.00,100.00,9.62,0.00,14.62,100.00,0.15,32.28
"Waterloo-Cedar Falls, IA Metro Area",2023,0.72,44.75,0.00,12.80,73.28,0.00,0.98,1.52,100.00,6.98,100.00,13.88,100.00,9.03,40.50
"Lewiston, ID-WA Metro Area",2023,1.10,35.58,0.00,10.68,67.12,29.50,0.60,0.00,100.00,9.95,0.00,14.68,100.00,0.00,55.43
"Claremont-Lebanon, NH-VT Micro Area",2023,3.92,38.35,0.82,11.67,60.92,100.00,0.97,0.07,100.00,9.05,98.50,20.83,100.00,0.00,52.65
"Tyler, TX Metro Area",2023,1.32,40.35,1.47,10.45,57.72,100.00,1.52,0.40,100.00,8.47,100.00,15.03,100.00,8.12,33.43
"Rocky Mount, NC Metro Area",2023,1.30,42.85,0.98,11.22,70.17,100.00,0.60,3.52,100.00,8.28,100.00,19.78,100.00,36.23,48.42
"Visalia-Porterville, CA Metro Area",2023,0.68,45.58,0.00,12.40,68.83,100.00,1.17,0.00,100.00,8.12,4.83,12.75,100.00,0.00,32.43
"Modesto, CA Metro Area",2023,0.94,34.33,0.71,9.63,66.03,83.92,0.60,0.23,100.00,8.45,100.00,14.63,100.00,14.19,32.57
"Fort Payne, AL Micro Area",2023,0.24,33.85,1.61,9.73,69.17,98.08,1.00,0.65,100.00,8.10,100.00,15.17,100.00,4.79,44.88
"Knoxville, TN Metro Area",2023,0.00,39.47,0.00,9.48,69.10,100.00,10.18,0.05,100.00,9.48,35.33,7.67,100.00,0.00,33.12
"Savannah, GA Metro Area",2023,4.37,46.60,0.00,12.33,74.50,100.00,0.00,0.00,100.00,9.37,17.00,18.72,100.00,0.72,57.75
"Richmond, IN Micro Area",2023,1.00,39.93,1.38,13.02,71.68,100.00,0.82,0.03,100.00,7.10,100.00,14.38,100.00,23.80,59.62
"Frankfort, KY Micro Area",2023,0.57,38.73,3.68,10.37,63.70,100.00,0.78,0.59,100.00,8.95,100.00,16.32,100.00,9.69,50.10
"Salisbury, MD-DE Metro Area",2023,0.00,41.58,0.83,13.85,75.07,0.00,0.83,0.01,100.00,8.48,100.00,7.93,0.00,0.00,35.88
"Moses Lake, WA Micro Area",2023,1.00,45.77,0.00,12.78,74.08,80.25,1.60,0.00,100.00,6.85,0.00,22.97,100.00,0.00,67.13
"Hutchinson, KS Micro Area",2023,1.18,43.90,0.00,13.48,73.97,82.67,0.62,0.03,100.00,8.00,22.67,28.17,100.00,9.00,65.17
"Meadville, PA Micro Area",2023,1.73,33.63,0.78,12.57,70.70,100.00,0.37,0.00,100.00,7.58,0.00,9.95,100.00,18.00,35.18
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2023,1.27,30.60,0.82,10.18,67.75,100.00,1.07,0.03,100.00,8.60,14.50,16.40,100.00,1.90,41.30
"Hammond, LA Metro Area",2023,3.70,45.03,0.00,12.50,73.83,12.25,0.73,0.00,100.00,8.10,5.50,13.57,100.00,0.00,37.85
"Raleigh, NC Metro Area",2023,0.00,39.57,2.97,11.52,68.68,100.00,0.53,0.03,100.00,8.68,100.00,13.57,100.00,3.48,31.10
"Albany, GA Metro Area",2023,3.55,37.03,0.37,10.72,69.52,100.00,0.68,0.65,100.00,9.00,100.00,7.30,100.00,5.80,34.28
"Greeley, CO Metro Area",2023,1.12,43.10,0.17,14.37,71.77,100.00,0.07,0.00,100.00,7.43,98.50,7.13,100.00,0.00,21.63
"Rapid City, SD Metro Area",2023,0.00,41.97,2.83,11.17,68.78,100.00,0.88,0.05,100.00,7.45,100.00,15.03,100.00,5.24,49.70
"Atlanta-Sandy Springs-Roswell, GA Metro Area",2023,0.92,37.92,0.65,11.82,72.40,14.50,1.00,0.03,100.00,7.32,32.17,11.92,0.00,2.47,36.47
"Greeneville, TN Micro Area",2023,4.68,43.53,0.40,16.03,67.83,100.00,0.27,0.00,100.00,8.64,100.00,11.42,100.00,29.37,31.72
"Jonesboro, AR Metro Area",2023,3.13,37.73,1.10,11.22,63.97,100.00,0.65,0.00,100.00,9.12,0.00,13.93,100.00,2.09,48.00
"Clearlake, CA Micro Area",2023,0.00,32.57,0.68,10.93,66.75,0.00,1.10,0.10,100.00,9.23,33.83,8.28,0.00,22.56,45.63
"Statesboro, GA Micro Area",2023,0.28,31.77,0.08,11.50,65.67,100.00,1.17,0.27,100.00,9.55,100.00,12.80,100.00,8.81,40.02
"Pueblo, CO Metro Area",2023,0.00,41.95,0.18,14.33,76.38,100.00,2.18,0.05,100.00,6.55,46.50,10.23,0.00,0.00,29.98
"Danville, IL Metro Area",2023,15.90,44.70,0.43,11.55,74.32,100.00,1.13,0.23,100.00,9.30,51.00,23.57,100.00,5.89,55.30
"La Crosse-Onalaska, WI-MN Metro Area",2023,0.29,41.40,0.18,10.73,67.07,100.00,29.69,0.18,100.00,10.42,100.00,12.12,0.00,0.75,25.08
"St. Joseph, MO-KS Metro Area",2023,0.00,39.60,0.17,8.40,61.80,100.00,1.76,0.00,100.00,11.93,100.00,17.63,100.00,0.00,62.38
"Mount Vernon-Anacortes, WA Metro Area",2023,1.71,48.48,0.27,10.97,63.43,100.00,0.29,0.51,100.00,8.42,100.00,27.28,100.00,3.27,54.43
"Lafayette, LA Metro Area",2023,9.18,42.05,0.33,11.82,66.05,100.00,1.14,0.04,100.00,12.30,100.00,15.33,100.00,1.53,35.98
"Providence-Warwick, RI-MA Metro Area",2023,0.00,40.92,0.40,11.42,75.28,100.00,1.75,0.00,100.00,6.58,0.00,12.90,0.00,0.00,24.82
"Klamath Falls, OR Micro Area",2023,0.00,38.15,0.00,9.62,71.93,15.67,0.33,0.00,100.00,9.65,0.00,6.98,100.00,0.00,31.95
"Ponce, PR Metro Area",2023,0.00,31.48,1.67,10.35,67.35,100.00,0.00,0.00,100.00,9.07,32.67,6.07,100.00,3.08,29.68
"Ames, IA Metro Area",2023,0.00,41.75,0.00,13.62,75.25,86.00,0.08,0.00,100.00,9.63,0.00,17.23,100.00,0.00,51.97
"Holland, MI Micro Area",2023,0.00,36.47,1.50,10.87,60.77,100.00,0.68,0.00,100.00,9.77,98.00,7.37,100.00,0.00,23.17
"Clarksville, TN-KY Metro Area",2023,3.23,40.47,0.55,13.08,65.20,94.58,0.93,0.08,100.00,10.38,17.33,18.37,100.00,15.91,48.90
"Decatur, AL Metro Area",2023,0.22,39.53,0.02,12.10,68.75,100.00,1.60,0.00,100.00,12.08,0.00,10.20,100.00,0.95,22.47
"Lake City, FL Micro Area",2023,2.09,44.47,0.98,13.10,70.40,100.00,1.20,0.40,100.00,7.94,100.00,18.22,100.00,8.49,44.72
"Kankakee, IL Metro Area",2023,0.00,52.13,0.03,16.30,74.55,0.00,0.00,0.00,100.00,9.17,0.00,16.10,100.00,5.60,42.73
"Kingston, NY Metro Area",2023,0.00,39.12,0.33,11.17,72.45,100.00,0.38,0.00,100.00,10.10,0.00,10.72,100.00,0.00,36.52
