CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Winchester, VA-WV Metro Area",8.4,8.4,8.4,28.6,47.8,10.9,2.19,69.1,0,39,0.3,873,351,7.8,0,51.5,51.5,0.3,0.8,0.8
"Winston-Salem, NC Metro Area",9.9,9.9,9.9,36.9,47.7,12.2,2.2,69.6,0.2,115,0.4,8340,291,9.2,0,59.5,59.5,0.5,1.4,1.4
"Wisconsin Rapids-Marshfield, WI Micro Area",11.6,11.6,11.6,51.4,34.1,15.4,1.85,70.6,11.2,698,0,2583,0,9.3,1.9,63,63,7.1,1.8,1.8
"Wooster, OH Micro Area",7.1,7.1,7.1,31.2,14.3,4,2.55,59.5,0,210,0.4,3411,3938,9.4,0,37.4,37.4,0.1,1.3,1.3
"Worcester, MA-CT Metro Area",8.3,8.3,8.3,36.5,1.7,5.9,2.69,70.9,,,,,,11,,33.2,33.2,,0.1,0.1
"Yakima, WA Metro Area",11,11,11,44.2,67.4,21.3,2.47,67.6,0,0,0.5,125,0,7,0,52.6,52.6,0.4,0.5,0.5
"York-Hanover, PA Metro Area",13.5,13.5,13.5,44,23.9,14.8,2.17,62.8,8.5,0,0.7,1632,0,6,0,33.3,33.3,3.7,1,1
"Youngstown-Warren-Boardman, OH-PA Metro Area",13,13,13,44.8,17.8,6.9,2.43,79.3,,,,,,8.7,,40.9,40.9,,0,0
"Yuba City, CA Metro Area",10.4,10.4,10.4,36.7,37.4,11.6,2.12,68.4,0.1,0,0.4,563,10,7,0,49.3,49.3,0.4,1.1,1.1
"Yuma, AZ Metro Area",10.6,10.6,10.6,37.4,48.6,13.7,2.19,63.9,1.7,47,0.4,2230,31,8.4,0,49.6,49.6,0.7,1.7,1.7
