CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Tupelo, MS Micro Area",8.9,8.9,8.9,39.1,50.2,13.7,2.53,68.6,,,,,,6.1,,36.9,36.9,,0.5,0.5
"Tuscaloosa, AL Metro Area",7.5,7.5,7.5,36.4,14.4,6.2,2.22,58.5,0.2,0,0.2,642,64,7,0,29.3,29.3,0.7,2.5,2.5
"Tyler, TX Metro Area",10.7,10.7,10.7,44.6,16,5.4,2.57,59.2,0.1,0,0.4,715,0,9.8,0,48.1,48.1,1.9,0.3,0.3
"Ukiah, CA Micro Area",9.2,9.2,9.2,43.6,49.6,15.4,2.58,66.7,,,,,,7.8,,38.8,38.8,,0.4,0.4
"Valdosta, GA Metro Area",10.9,10.9,10.9,47.4,22.6,10.9,2.53,67,0.2,0,1.2,296,0,,0,42.7,42.7,1.2,,
"Vallejo-Fairfield, CA Metro Area",17.5,17.5,17.5,55.5,54,20.1,2.46,72.2,0.1,0,0.4,1364,468,12.8,0,56.7,56.7,1.5,1.2,1.2
"Urban Honolulu, HI Metro Area",11.5,11.5,11.5,44,32.1,8.8,3.23,69.3,0.1,0,0.8,100,1099,7.9,0,54.4,54.4,0,0.5,0.5
"Utica-Rome, NY Metro Area",10,10,10,34,37.4,7.5,2.31,69.6,18.4,4017,0.3,4590,389,9.8,2,63.2,63.2,2.2,1.4,1.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",9.7,9.7,9.7,35.6,33,12.1,2.22,67.3,2.3,268,0.8,5738,44,8.5,0.1,45.6,45.6,2.7,2.6,2.6
"Waterloo-Cedar Falls, IA Metro Area",5.8,5.8,5.8,37.7,8.4,3.7,3.28,59.9,,,,,,11.5,,31.1,31.1,,1.6,1.6
"Victoria, TX Metro Area",9.3,9.3,9.3,43.8,53.6,31,2.52,64.6,0.6,0,0.2,1941,525,13.1,0,54.5,54.5,2.5,0.1,0.1
"Vineland-Bridgeton, NJ Metro Area",9.2,9.2,9.2,35.8,38.3,10.1,2.64,54.3,0.1,204,0.6,974,3407,9.7,0,50.9,50.9,0.1,2.9,2.9
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",12,12,12,46.8,3.8,10.1,2.67,72.2,,,,,,6.5,,16.9,16.9,,0.2,0.2
"Visalia-Porterville, CA Metro Area",8.4,8.4,8.4,26.6,1.7,4.6,2.03,49.3,,,,,,7.9,,25.7,25.7,,1.5,1.5
"Kalamazoo-Portage, MI Metro Area",7.2,7.2,7.2,37.8,25.8,14,2.67,53.3,0.2,0,1.2,159,0,9.3,0,61.6,61.6,0.4,1.2,1.2
"Kapaa, HI Micro Area",13.4,13.4,13.4,38.8,31.9,10.6,2.09,73.9,49.9,45,0.3,13289,195,10.9,0,48,48,14.8,0.8,0.8
"Kalispell, MT Micro Area",10.5,10.5,10.5,34.9,55.8,12.5,2.44,71.2,35,588,0.8,2010,0,10.6,1.1,59.8,59.8,3.7,0.6,0.6
"Kankakee, IL Metro Area",11.3,11.3,11.3,36.2,34,11.2,2.06,74.8,5.6,0,0.5,2058,19,9.6,0,76,76,7.6,0,0
"Kansas City, MO-KS Metro Area",10.3,10.3,10.3,33.3,12.1,9.3,2.18,65,62.5,233,1.2,2746,0,10.7,0.5,58.9,58.9,6,0.3,0.3
"Keene, NH Micro Area",8.9,8.9,8.9,33.9,40.3,10.4,2.3,58.9,0.3,189,0.2,1546,0,9,0.1,39.2,39.2,0.8,1.3,1.3
"Kennewick-Richland, WA Metro Area",10.1,10.1,10.1,39.5,40.9,13.8,2.32,69.9,0.5,0,0.1,1301,44,8.5,0,39,39,3.2,0.2,0.2
"Key West, FL Micro Area",8.5,8.5,8.5,28.4,18,4.3,2.03,60.9,0,39,0.4,220,0,9.7,0,47.1,47.1,0.2,1.2,1.2
"Killeen-Temple, TX Metro Area",9.6,9.6,9.6,37.7,37.9,12.4,2.34,64,0,0,0.3,3768,40,10.1,0,49.8,49.8,1.3,0.7,0.7
"Kingsport-Bristol-Bristol, TN-VA Metro Area",6,6,6,32.8,3.5,5.1,2.56,65.2,0.4,0,0.1,214,0,11.6,0,37.9,37.9,0.5,2.6,2.6
"Kingston, NY Metro Area",10.2,10.2,10.2,52.2,55.1,19.4,2.37,68.6,1.4,201,0.3,2182,0,10.3,0.4,53,53,4,0.3,0.3
"Klamath Falls, OR Micro Area",10.1,10.1,10.1,42.4,8.6,5,2.5,68,,,,,,10.1,,40.7,40.7,,0.1,0.1
"Knoxville, TN Metro Area",11.4,11.4,11.4,47.5,55.2,16.1,2.38,65,0.1,78,0,2662,0,8.2,0.2,31.7,31.7,6.2,0.4,0.4
"Kokomo, IN Metro Area",8.2,8.2,8.2,34.5,39.9,15.5,2.85,48.2,0.1,484,5.5,8426,20053,9.3,0,53.9,53.9,0.2,4.8,4.8
"La Crosse-Onalaska, WI-MN Metro Area",10.1,10.1,10.1,35.4,43.2,12.7,2.32,67.2,0.3,0,0.3,6376,114,7.8,0,44.6,44.6,1.3,1.9,1.9
"Lafayette, LA Metro Area",7.3,7.3,7.3,34.6,10.1,5.4,2.47,57.1,,,,,,11.4,,32.3,32.3,,0.7,0.7
"Lafayette-West Lafayette, IN Metro Area",10.3,10.3,10.3,38.5,0,6.4,2.39,69.3,,,,,,11.9,,32.4,32.4,,0.2,0.2
"LaGrange, GA Micro Area",9.8,9.8,9.8,50.5,48.3,9.4,2.91,66.9,1.1,0,0.2,602,0,9.8,0,25.5,25.5,1.3,0.5,0.5
"Lake Charles, LA Metro Area",10.8,10.8,10.8,40.7,27.7,11.2,2.39,71,5.4,0,0.7,3088,32,8.4,0,38.6,38.6,3,0.9,0.9
"Lake City, FL Micro Area",10,10,10,42.1,24,8.7,2.61,62.8,0.6,0,0.6,573,195,8.9,0,45.1,45.1,0.7,0.6,0.6
"Lake Havasu City-Kingman, AZ Metro Area",8.6,8.6,8.6,44.4,62.9,27.8,3.62,63.6,0.5,0,0.4,4480,538,14.1,0,32.5,32.5,10.1,0.4,0.4
"Lakeland-Winter Haven, FL Metro Area",9.1,9.1,9.1,28.9,34.2,6.6,2.01,60.6,1.1,12,0.6,3710,143,6.6,0,42.4,42.4,1.3,4.5,4.5
"Lancaster, PA Metro Area",9.5,9.5,9.5,29.8,43.1,8,2.15,67.1,30.7,170,0.4,5633,59,7.6,0.1,56.7,56.7,3.5,1,1
"Lansing-East Lansing, MI Metro Area",6.1,6.1,6.1,28.3,5.6,7.8,2.51,48.9,0.2,0,0.1,1053,105,12.6,0,41,41,2.3,0.3,0.3
"Laredo, TX Metro Area",12.5,12.5,12.5,36.2,54.2,7.7,2.11,74.1,2.1,47,0.4,1102,0,7.1,0.1,42,42,3.3,1.5,1.5
"Las Cruces, NM Metro Area",8.5,8.5,8.5,28.3,49.5,12.8,2.15,65.2,0.9,7,0.6,584,5,5.7,0,25,25,1.5,1.6,1.6
"Las Vegas-Henderson-Paradise, NV Metro Area",10.8,10.8,10.8,41.8,45.1,13.8,2.23,67.3,3.7,40,0.7,2337,0,6.9,0.1,72.4,72.4,4.7,0.7,0.7
"Laurel, MS Micro Area",14.2,14.2,14.2,41.4,48.8,11.4,1.81,77.1,1.8,0,1.1,3019,0,12.3,0,38.8,38.8,10.4,0.2,0.2
"Lawrence, KS Metro Area",10.7,10.7,10.7,41,17,7.6,2.08,70,,,,,,10,,31.4,31.4,,0.2,0.2
"Lawton, OK Metro Area",10.1,10.1,10.1,34.1,27.2,6.4,2.33,78.6,0.6,0,0.3,619,0,8.7,0,28.5,28.5,2,0.8,0.8
"Lebanon, PA Metro Area",8.1,8.1,8.1,28.5,32.3,7.8,2.5,63.5,3.2,287,0.6,16413,5400,9.2,0,52.4,52.4,0.7,13.1,13.1
"Lewiston, ID-WA Metro Area",9.8,9.8,9.8,32.2,59,11.1,2.23,69.8,0.4,0,0.3,392,0,9.6,0,47.7,47.7,0.6,0.3,0.3
"Lewiston-Auburn, ME Metro Area",10.8,10.8,10.8,32.5,18.8,9.8,2.15,73.2,1.4,0,0,700,8,7.8,0,54.4,54.4,2.1,0,0
"Lexington-Fayette, KY Metro Area",8.2,8.2,8.2,38.2,46.4,20,2.36,56.6,13.5,48,0.2,2294,0,9.7,0.1,60.8,60.8,5.6,1.3,1.3
"Lima, OH Metro Area",10.7,10.7,10.7,33.1,40.6,6.9,1.93,73.3,2.9,0,0.4,4191,0,10.3,0,50.3,50.3,6.2,0.3,0.3
"Lincoln, NE Metro Area",13.8,13.8,13.8,46.1,33.8,10.7,1.96,70.9,9.9,0,0,1561,0,8.6,0,56.1,56.1,3.1,1.2,1.2
"Little Rock-North Little Rock-Conway, AR Metro Area",11,11,11,38.1,21.7,12.6,2.74,64.9,,,,,,6.7,,39,39,,0.7,0.7
"Logan, UT-ID Metro Area",12.7,12.7,12.7,44.9,44,10.4,1.95,74.1,6.3,27,0.3,1291,153,7,0,77.2,77.2,2.3,0.6,0.6
"London, KY Micro Area",11.2,11.2,11.2,33.8,49.2,6.5,2.1,70.5,1,0,0.4,659,0,8.1,0,44.6,44.6,1.5,0.5,0.5
"Longview, TX Metro Area",9,9,9,33.6,22.4,7,2.31,64.5,0.1,0,0.4,2754,130,7.7,0,49.1,49.1,1.1,0.6,0.6
"Longview, WA Metro Area",8.9,8.9,8.9,35.6,29.3,8.6,2.28,63.7,,,,,,7.3,,44.3,44.3,,0.5,0.5
"Los Angeles-Long Beach-Anaheim, CA Metro Area",11.3,11.3,11.3,42.8,55.3,11.4,2.02,69.6,26.5,1526,0.3,3707,23,11.2,3.4,35.8,35.8,8.3,0.6,0.6
"Louisville\/Jefferson County, KY-IN Metro Area",11.1,11.1,11.1,37.6,30.2,7.1,2.26,62.5,0.4,284,0.6,759,60,9,0.2,43.2,43.2,0.6,0.6,0.6
"Lubbock, TX Metro Area",11.4,11.4,11.4,39.7,27.4,8,2.32,57,,,,,,5.6,,27.6,27.6,,0,0
"Lufkin, TX Micro Area",10.5,10.5,10.5,37.4,30.2,5.2,2.6,72.2,7.3,69,0,4348,0,11.3,0.1,28.8,28.8,8.7,0,0
"Lumberton, NC Micro Area",10.3,10.3,10.3,40.4,19.5,5.7,2.35,67.7,5.6,193,0.7,4068,155,8.9,0.1,38.7,38.7,1.5,0.8,0.8
"Lynchburg, VA Metro Area",11.8,11.8,11.8,38.5,53.7,13.9,1.89,72.3,3.9,0,0.3,1351,0,10.5,0,53.2,53.2,4.1,0,0
"Macon-Bibb County, GA Metro Area",10.3,10.3,10.3,35.9,63.4,9.5,2.13,70.7,4.7,32,0,2643,43,10.1,0.1,34.5,34.5,5.9,0.4,0.4
"Madera, CA Metro Area",9.5,9.5,9.5,33.9,53.4,15.5,2.24,64.9,41.9,253,0.4,12628,686,7.9,0.1,53.1,53.1,3.5,2.1,2.1
"Madison, WI Metro Area",8.3,8.3,8.3,36.3,28.6,16.4,2.9,63.4,2.6,0,0.8,3655,165,11.5,0,30.7,30.7,4.4,0.4,0.4
"Manchester-Nashua, NH Metro Area",11.4,11.4,11.4,63.1,85.1,43.7,2.95,73.6,,,,,,,,null,null,,,
"Manhattan, KS Metro Area",10.5,10.5,10.5,34.6,40.1,9.4,2.31,75,12.3,1141,0.6,4988,298,7.9,0.7,46.8,46.8,2.8,1.1,1.1
"Manitowoc, WI Micro Area",12.3,12.3,12.3,42.7,53.7,15.4,1.99,70.6,3.5,771,0.3,3207,0,8.1,0.3,63.7,63.7,1.4,0.9,0.9
"Mankato-North Mankato, MN Metro Area",8.3,8.3,8.3,42.3,60.4,24.5,2.83,61,0.2,0,1.2,2625,1443,13.9,0,57.4,57.4,4.4,1.2,1.2
"Mansfield, OH Metro Area",9.3,9.3,9.3,44.7,41.5,20.6,2.79,66.3,0.1,0,7.9,0,539,12.9,0,46.6,46.6,0,0.5,0.5
"Marinette, WI-MI Micro Area",10.6,10.6,10.6,42.6,39.9,15.4,2.37,70.8,5.9,0,0.3,1429,0,6.1,0,,,4.3,0.2,0.2

"Marion, IN Micro Area",,,,,,,,,,,,,,,,,,,,
