CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Provo-Orem, UT Metro Area",211310,211310,421395,421395,421395,26703,75344,304369,14976,52802,1057,31258,288700,632705,320206,320206,43871,43871,53892,53892,53892,2,41298,41298,398903,398903,23454,145244,200131,174426
"Pueblo, CO Metro Area",37486,37486,130043,130043,130043,24443,48468,75448,16874,22544,775,15923,330100,167529,81804,81804,,,32843,32843,32843,0.7,8498,8498,126774,126774,12040,49178,60502,64954
"Punta Gorda, FL Metro Area",22207,22207,162791,162791,162791,30634,52927,66533,6324,12467,1050,36048,173200,184998,90140,90140,,,53562,53562,53562,0.6,14254,14254,157470,157470,,,75732,74975
"Quincy, IL-MO Micro Area",17350,17350,58657,58657,58657,29934,54948,39834,4366,8421,732,9684,206600,76007,37446,37446,,,18411,18411,18411,0.7,4828,4828,58437,58437,9204,16584,28443,30277
"Racine, WI Metro Area",45350,45350,151234,151234,151234,29897,59759,99668,9559,25822,847,18264,130100,196584,97477,97477,,,41409,41409,41409,1.6,12360,12360,146349,146349,12576,59265,71202,76808
"Raleigh, NC Metro Area",327949,327949,1034591,1034591,1034591,38365,75165,742289,34962,176354,1128,88077,187300,1362540,662145,662145,158696,158696,161386,161386,161386,0.9,161628,161628,954028,954028,285971,189629,456227,504854
"Rapid City, SD Metro Area",33440,33440,113876,113876,113876,32081,59833,75437,4605,17438,804,16802,267600,147316,74945,74945,,,32329,32329,32329,0.5,10831,10831,112012,112012,19615,29928,56106,58509
"Reading, PA Metro Area",93630,93630,326522,326522,326522,31493,62564,220655,19177,44987,909,38144,199600,420152,205971,205971,,,101276,101276,101276,2,25792,25792,311461,311461,35413,62613,152595,157006
"Redding, CA Metro Area",38584,38584,141456,141456,141456,28144,56280,75948,10320,23796,1084,16996,186000,180040,88679,88679,,,29514,29514,29514,0.8,10638,10638,136327,136327,22726,29202,66476,68198
"Reno, NV Metro Area",102361,102361,368904,368904,368904,35705,63466,253143,20635,78428,1097,32236,265000,471265,237564,237564,63118,63118,78828,78828,78828,1.7,38860,38860,340240,340240,52120,118856,170447,187724
"Richmond, IN Micro Area",14475,14475,51461,51461,51461,24787,44928,30860,3070,9957,652,,361800,65936,31452,31452,,,16322,16322,16322,0.2,3311,3311,50338,50338,8029,14995,23405,28338
"Richmond, VA Metro Area",281971,281971,1021650,1021650,1021650,35443,67703,685949,39193,171199,1100,97359,92000,1303621,627404,627404,107478,107478,227674,227674,227674,1.7,132900,132900,972678,972678,311941,137922,457731,497416
"Richmond-Berea, KY Micro Area",22247,22247,86714,86714,86714,25527,50333,54303,8486,15212,739,10850,246100,108961,52531,52531,,,21699,21699,21699,0.1,8459,8459,85688,85688,30889,5835,41306,39908
"Riverside-San Bernardino-Ontario, CA Metro Area",1188406,1188406,3433955,3433955,3433955,27329,65671,2159077,360151,483970,1321,260092,148000,4622361,2302767,2302767,987978,987978,835246,835246,835246,1.2,231809,231809,2990467,2990467,304942,961321,1475620,1366750
"Roanoke, VA Metro Area",63395,63395,251120,251120,251120,31659,55151,154598,9100,41165,894,35749,360300,314515,150618,150618,,,70437,70437,70437,1.7,24623,24623,244025,244025,65262,46123,114855,126687
"Roanoke Rapids, NC Micro Area",14065,14065,56185,56185,56185,21263,37027,29076,1334,9956,695,9435,178300,70250,35635,35635,,,20204,20204,20204,0.3,2647,2647,55424,55424,16548,4364,27208,27118
"Rochester, MN Metro Area",53414,53414,166388,166388,166388,38888,72129,120502,11106,23806,920,21809,87400,219802,108402,108402,,,34777,34777,34777,4.6,24066,24066,159328,159328,14062,57836,76897,88644
"Rochester, NY Metro Area",220075,220075,851007,851007,851007,32706,60190,543734,65524,136951,894,107179,218000,1071082,521183,521183,76552,76552,187259,187259,187259,2.2,122140,122140,821542,821542,63718,304457,394040,430682
"Rockford, IL Metro Area",79600,79600,258058,258058,258058,29503,55829,173729,19399,41426,790,34546,148000,337658,166390,166390,,,75967,75967,75967,0.9,20341,20341,242412,242412,16718,111282,117491,133049
"Rocky Mount, NC Metro Area",32132,32132,113889,113889,113889,27045,46733,71785,6982,20011,760,18056,127100,146021,70147,70147,,,37341,37341,37341,1.1,5475,5475,110541,110541,35259,14188,51100,58844
"Rome, GA Metro Area",22625,22625,75302,75302,75302,23126,38462,40121,1924,13797,707,8445,114000,97927,46055,46055,,,24108,24108,24108,0.3,4570,4570,70983,70983,,,32726,34672
"Roseburg, OR Micro Area",21351,21351,88932,88932,88932,24881,47004,47500,7564,13634,839,15726,128200,110283,54333,54333,,,27964,27964,27964,0.1,4693,4693,87605,87605,24171,12164,42592,45647
"Roswell, NM Micro Area",16484,16484,48205,48205,48205,21204,43941,27679,7429,8296,783,,216400,64689,32254,32254,,,10592,10592,10592,1,2465,2465,44910,44910,,,21242,22616
"Russellville, AR Micro Area",19619,19619,65916,65916,65916,21289,43886,37677,4708,8325,631,9564,118600,85535,40907,40907,,,21483,21483,21483,0.3,2940,2940,62441,62441,,,29858,29267
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",535943,535943,1809267,1809267,1809267,35194,73142,1150475,154640,328335,1332,147936,109300,2345210,1147673,1147673,455029,455029,330518,330518,330518,2.2,192028,192028,1638374,1638374,256409,499788,793438,835453
"Saginaw, MI Metro Area",40848,40848,149952,149952,149952,28690,48990,88200,15675,23216,747,26846,415700,190800,93393,93393,,,44404,44404,44404,0.3,10137,10137,148907,148907,9429,58396,71486,78740
"Salisbury, MD-DE Metro Area",77568,77568,332411,332411,332411,31105,59214,192204,27394,41901,1003,50287,105800,409979,199673,199673,,,95857,95857,95857,0.7,32306,32306,317653,317653,87736,21734,151183,161305
"Salt Lake City, UT Metro Area",335777,335777,886763,886763,886763,33158,73730,654463,23493,130931,1133,76095,231800,1222540,613118,613118,158976,158976,178417,178417,178417,3.2,100970,100970,802487,802487,42593,350360,399564,402242
"San Angelo, TX Metro Area",28412,28412,90898,90898,90898,27569,51851,56567,3503,16460,855,14760,329200,119310,60055,60055,,,25526,25526,25526,0,5281,5281,87824,87824,,,43662,43938
"San Antonio-New Braunfels, TX Metro Area",635046,635046,1882990,1882990,1882990,27969,57379,1221184,76022,310532,1002,210931,154400,2518036,1242931,1242931,304642,304642,438341,438341,438341,1.8,163842,163842,1720832,1720832,574734,221291,838466,823888
"San Diego-Carlsbad, CA Metro Area",722408,722408,2620956,2620956,2620956,37841,79079,1697366,218987,530366,1668,175061,182000,3343364,1682808,1682808,790023,790023,420657,420657,420657,2.6,347504,347504,2293905,2293905,354305,657439,1156948,1130911
"Sandusky, OH Micro Area",15144,15144,59471,59471,59471,30532,49751,37224,4820,9238,779,9932,606200,74615,36773,36773,,,17962,17962,17962,1.4,4678,4678,59201,59201,7359,20858,28458,31675
"San Francisco-Oakland-Hayward, CA Metro Area",931321,931321,3798163,3798163,3798163,56393,107898,2655792,245478,765074,1944,269288,139700,4729484,2343130,2343130,1443230,1443230,537633,537633,537633,17.3,724789,724789,3230062,3230062,453118,1151030,1582109,1698978
"San Germ\u00E1n, PR Metro Area",20313,20313,98197,98197,98197,9581,16737,35460,9277,12184,462,20135,910300,118510,56818,56818,null,null,null,null,null,0.6,null,null,98124,98124,,,46903,null
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",439638,439638,1559469,1559469,1559469,57797,124696,1089586,88743,294146,2283,111175,93700,1999107,1013404,1013404,768600,768600,196184,196184,196184,4,345293,345293,1225837,1225837,224452,413692,609600,663870
"San Juan-Carolina-Caguas, PR Metro Area",374977,374977,1649627,1649627,1649627,14209,22757,812020,168549,245385,526,286235,1091100,2024604,953376,953376,null,null,null,null,null,2.4,null,null,1613529,1613529,95444,699,745858,null
"St. Cloud, MN Metro Area",47291,47291,152510,152510,152510,30169,60759,111294,15085,24273,810,19247,121700,199801,100654,100654,,,33851,33851,33851,2,11851,11851,145669,145669,21768,37981,72606,74937
"St. George, UT Metro Area",44725,44725,126975,126975,126975,27952,56333,70788,4132,17183,984,16006,191800,171700,84845,84845,,,24883,24883,24883,0.6,13386,13386,122738,122738,25498,32131,59397,59863
"St. Joseph, MO-KS Metro Area",27620,27620,99371,99371,99371,26076,53321,61058,3618,15418,736,14395,313000,126991,65917,65917,,,34255,34255,34255,0.5,5440,5440,97224,97224,17344,22788,50940,46816
"St. Louis, MO-IL Metro Area",620855,620855,2183869,2183869,2183869,35569,62790,1469973,86392,359888,891,273455,131700,2804724,1361317,1361317,141894,141894,500722,500722,500722,2.1,277938,277938,2125552,2125552,353501,715006,1011382,1137478
"Salem, OH Micro Area",20872,20872,81793,81793,81793,24942,43745,47710,6356,11422,603,14168,180700,102665,51589,51589,,,34030,34030,34030,0.7,4960,4960,81657,81657,10069,23275,41367,41884
"Salem, OR Metro Area",105205,105205,326897,326897,326897,27250,57091,208535,27940,60751,1006,30188,102900,432102,215932,215932,,,73017,73017,73017,1.5,23627,23627,296107,296107,80670,59523,146657,150729
"Salinas, CA Metro Area",114103,114103,321491,321491,321491,30674,70681,199548,29476,61503,1511,23066,273400,435594,221011,221011,134282,134282,58339,58339,58339,1.3,28128,28128,231021,231021,58098,56874,116568,126299
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",49675,49675,234335,234335,234335,36924,71148,134948,14913,41118,1430,21728,563000,284010,143754,143754,,,37705,37705,37705,0.7,24565,24565,219355,219355,18481,73115,110003,106198
"Santa Cruz-Watsonville, CA Metro Area",52617,52617,221638,221638,221638,42131,86941,144966,16396,37907,1685,18589,593100,274255,134866,134866,,,27506,27506,27506,2.5,30470,30470,193976,193976,20583,55190,94721,94994
"Santa Fe, NM Metro Area",26881,26881,123175,123175,123175,37821,60193,73028,10133,18075,1076,19355,815100,150056,72779,72779,,,27867,27867,27867,0.7,22902,22902,108511,108511,6859,46626,50788,62707
"Santa Maria-Santa Barbara, CA Metro Area",99331,99331,347196,347196,347196,37172,77472,223874,25338,69620,1653,27505,296100,446527,223408,223408,102497,102497,52227,52227,52227,2.4,40852,40852,282445,282445,26365,105783,140005,146224
"Santa Rosa, CA Metro Area",98257,98257,401685,401685,401685,41985,81395,272113,28160,72190,1655,39234,629400,499942,243952,243952,84507,84507,65771,65771,65771,2.1,51071,51071,355844,355844,38773,125795,169794,187434
"Savannah, GA Metro Area",88800,88800,300694,300694,300694,32862,58178,203111,12167,56498,1055,30553,655200,389494,189493,189493,,,72249,72249,72249,1.2,33728,33728,289082,289082,107054,32963,137113,142909
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",111070,111070,444415,444415,444415,28480,54115,277814,30770,74083,793,73529,205600,555485,271867,271867,40040,40040,152591,152591,152591,1,36901,36901,426020,426020,47177,120302,206869,227731
"Searcy, AR Micro Area",18295,18295,60432,60432,60432,24056,42270,33429,2523,10561,671,8153,140500,78727,38110,38110,,,19290,19290,19290,0.5,4249,4249,58772,58772,,,27472,29577
"Seattle-Tacoma-Bellevue, WA Metro Area",846677,846677,3092686,3092686,3092686,46204,87910,2166765,182314,614200,1563,254054,123300,3939363,1972803,1972803,759002,759002,530239,530239,530239,10.7,465479,465479,2747379,2747379,796471,625320,1364416,1526210
"Sebastian-Vero Beach, FL Metro Area",25217,25217,132196,132196,132196,37361,57508,65006,4598,10101,939,26465,487400,157413,76541,76541,,,32187,32187,32187,0.1,13431,13431,127212,127212,,,59782,57636
"Sebring, FL Metro Area",18396,18396,87028,87028,87028,25850,39796,38836,3913,8675,794,18284,220800,105424,50863,50863,,,30499,30499,30499,1.4,4971,4971,79593,79593,,,38799,40573
"Seneca, SC Micro Area",15586,15586,62788,62788,62788,27246,47132,31660,2075,8419,698,12548,105800,78374,38805,38805,,,15646,15646,15646,0.9,5597,5597,62524,62524,,,30491,31612
"Sevierville, TN Micro Area",20174,20174,77718,77718,77718,23864,47411,46460,5990,11469,804,12910,165800,97892,48788,48788,,,25651,25651,25651,0.4,3648,3648,74903,74903,28020,5918,35689,36861
"Shawnee, OK Micro Area",17153,17153,55526,55526,55526,23510,48776,31282,2346,8467,741,8976,186800,72679,34613,34613,,,16785,16785,16785,0.1,4091,4091,55009,55009,10505,13325,25991,26714
"Sheboygan, WI Metro Area",25182,25182,90274,90274,90274,31211,60896,61098,3988,13106,720,13638,126400,115456,59076,59076,,,28207,28207,28207,0.3,6598,6598,88377,88377,6069,34362,44522,46308
"Shelby, NC Micro Area",21657,21657,75988,75988,75988,21160,40690,42645,2089,11269,661,12386,167300,97645,46759,46759,,,22353,22353,22353,0,4494,4494,75027,75027,25155,6594,35343,34574
"Shelton, WA Micro Area",12538,12538,52969,52969,52969,28050,58094,28226,5636,6977,1055,7138,125800,65507,33563,33563,,,14249,14249,14249,1.1,3128,3128,50993,50993,,,26537,25864
"Sherman-Denison, TX Metro Area",31346,31346,102645,102645,102645,27017,51158,64880,3614,16167,894,18070,230800,133991,65122,65122,,,26797,26797,26797,0,7221,7221,98807,98807,27839,17187,46592,48963
"Show Low, AZ Micro Area",29343,29343,81102,81102,81102,18125,40463,37593,8691,10030,682,15827,163100,110445,55015,55015,,,22579,22579,22579,1.4,4345,4345,79851,79851,5619,9746,39598,34285
"Shreveport-Bossier City, LA Metro Area",104676,104676,331665,331665,331665,25108,41969,198793,31284,65989,811,48638,124600,436341,209105,209105,,,101063,101063,101063,1,23232,23232,326998,326998,92877,74089,153993,171540
"Sierra Vista-Douglas, AZ Metro Area",27247,27247,99523,99523,99523,26657,50495,46200,11588,14049,787,16306,142600,126770,64995,64995,,,22049,22049,22049,0.2,7776,7776,94652,94652,16493,25752,48340,49751
"Sioux City, IA-NE-SD Metro Area",43485,43485,125869,125869,125869,30725,61576,88242,7624,20997,799,19881,142200,169354,84274,84274,,,35233,35233,35233,0.3,8036,8036,118801,118801,21921,36647,57744,65930
"Sioux Falls, SD Metro Area",69149,69149,196951,196951,196951,31196,61196,151285,7155,33829,816,23062,140400,266100,134145,134145,,,45639,45639,45639,0.2,18214,18214,186980,186980,26461,65791,93346,102650
"Somerset, PA Micro Area",13094,13094,60858,60858,60858,27908,50988,33719,3609,5992,601,11643,199500,73952,38433,38433,,,28026,28026,28026,0.2,3023,3023,60404,60404,4676,5206,31421,28796
"South Bend-Mishawaka, IN-MI Metro Area",75119,75119,247305,247305,247305,29591,54715,166714,11990,38750,790,33684,106500,322424,157406,157406,,,64192,64192,64192,0.7,25620,25620,238404,238404,16783,99882,114276,128578
"Spartanburg, SC Metro Area",78188,78188,263110,263110,263110,26313,51853,166557,9818,37318,776,36774,136200,341298,164317,164317,,,73880,73880,73880,0.2,19313,19313,253722,253722,84285,33600,120880,127652
"Springfield, IL Metro Area",45780,45780,161896,161896,161896,34461,63521,107933,12969,27712,830,24426,147800,207676,100697,100697,,,41163,41163,41163,1,18214,18214,159478,159478,20820,60643,75811,88301
"Springfield, MA Metro Area",124706,124706,507055,507055,507055,31154,57857,312374,51158,91567,929,52598,143400,631761,302547,302547,55254,55254,115878,115878,115878,2.2,60390,60390,485885,485885,47084,107107,227163,237580
"Springfield, MO Metro Area",105793,105793,362333,362333,362333,26373,46905,222379,11455,73200,746,47642,237600,468126,228028,228028,,,91600,91600,91600,0.3,32723,32723,357988,357988,86645,72288,173845,192513
"Springfield, OH Metro Area",30121,30121,104464,104464,104464,26272,49875,65167,9905,19269,713,16043,150100,134585,65014,65014,,,31732,31732,31732,0.9,5762,5762,103149,103149,10818,39734,48871,55327
"State College, PA Metro Area",24527,24527,138278,138278,138278,28362,57333,79939,4355,21542,902,15920,119200,162805,85370,85370,,,28321,28321,28321,5.2,22748,22748,129201,129201,25263,12596,67065,58514
"Statesboro, GA Micro Area",14940,14940,62356,62356,62356,21432,44179,37314,2150,13655,779,,234700,77296,38232,38232,,,10701,10701,10701,0.4,5344,5344,61010,61010,,,29967,27097
"Staunton-Waynesboro, VA Metro Area",24775,24775,98232,98232,98232,27725,52625,59136,4168,15916,869,13068,146700,123007,61652,61652,,,34146,34146,34146,1.1,8265,8265,96508,96508,23491,13708,47351,50045
"Stevens Point, WI Micro Area",13929,13929,57013,57013,57013,30300,57452,38056,2317,9071,771,7558,209100,70942,35628,35628,,,15248,15248,15248,0.6,4329,4329,54979,54979,5015,17168,26983,29193
"Stillwater, OK Micro Area",16208,16208,65832,65832,65832,25941,48031,38285,1458,13953,830,8221,178700,82040,42030,42030,,,12910,12910,12910,0.4,6607,6607,62909,62909,,,32273,30734
"Stockton-Lodi, CA Metro Area",204316,204316,548344,548344,548344,27217,64119,347358,63044,105439,1243,38025,162900,752660,374647,374647,180435,180435,146372,146372,146372,1.6,26390,26390,460997,460997,60003,156813,226627,231917
"Sumter, SC Metro Area",25144,25144,81368,81368,81368,22602,45994,47487,6641,15206,804,10755,366000,106512,51530,51530,,,20687,20687,20687,0.1,5131,5131,80834,80834,33478,4570,38166,40396
"Sunbury, PA Micro Area",17800,17800,73283,73283,73283,26722,47160,44297,3701,11628,639,13291,113700,91083,46104,46104,,,33128,33128,33128,0.5,3713,3713,72753,72753,10072,9800,36983,38816
"Spokane-Spokane Valley, WA Metro Area",126180,126180,447347,447347,447347,30712,58546,275375,45677,80536,908,51285,119400,573527,283691,283691,,,93450,93450,93450,3.1,42143,42143,435853,435853,95358,110496,212877,229018
"Syracuse, NY Metro Area",135924,135924,514578,514578,514578,32063,58715,326030,38413,82115,829,67786,239000,650502,316777,316777,43392,43392,125608,125608,125608,2.1,65562,65562,499537,499537,46098,160352,240049,257443
"Talladega-Sylacauga, AL Micro Area",18652,18652,74160,74160,74160,25604,42026,39758,3097,10418,637,12455,140000,92812,45375,45375,,,23621,23621,23621,0.6,3553,3553,73622,73622,,,35515,35349
"Tallahassee, FL Metro Area",73303,73303,314152,314152,314152,28713,50682,198612,12757,59846,937,35656,110700,387455,186483,186483,,,61730,61730,61730,2,38550,38550,304230,304230,127541,12027,144589,146351
"Tampa-St. Petersburg-Clearwater, FL Metro Area",626137,626137,2516526,2516526,2516526,31831,54912,1540656,105874,432831,1128,336499,182700,3142663,1523799,1523799,451085,451085,668969,668969,668969,1.3,248314,248314,2326949,2326949,1140046,61509,1106903,1227325
"Terre Haute, IN Metro Area",35439,35439,133240,133240,133240,25617,50256,82347,8038,22917,724,17806,210000,168679,86518,86518,,,41130,41130,41130,0.1,9198,9198,129872,129872,30761,29033,66071,67747
"Texarkana, TX-AR Metro Area",36877,36877,114798,114798,114798,25810,45212,61759,4714,20702,729,19576,99700,151675,75030,75030,,,35049,35049,35049,1.5,6042,6042,111343,111343,,,54774,56610
"The Villages, FL Metro Area",9257,9257,119497,119497,119497,33441,53895,30288,1378,7883,912,34928,110900,128754,64120,64120,,,34205,34205,34205,0.1,16253,16253,117010,117010,,,58331,62854
"Toledo, OH Metro Area",134871,134871,468000,468000,468000,29222,51321,305475,35075,92477,744,58437,255200,602871,293850,293850,19951,19951,129604,129604,129604,1.4,42234,42234,459075,459075,48089,179590,220002,245652
"Topeka, KS Metro Area",54854,54854,177740,177740,177740,30874,54618,114149,8381,30434,825,25985,130500,232594,113904,113904,,,52062,52062,52062,0.8,15175,15175,172549,172549,20119,60114,83216,95364
"Torrington, CT Micro Area",33007,33007,148104,148104,148104,43008,76043,100397,11924,16410,1012,21143,138400,181111,89654,89654,,,42312,42312,42312,1.1,18903,18903,142384,142384,9886,9458,70008,73598
"Traverse City, MI Micro Area",29315,29315,120599,120599,120599,32654,62207,75001,7261,12027,924,19753,256100,149914,75144,75144,,,30914,30914,30914,0.9,13487,13487,119545,119545,5035,35487,58708,58740
"Trenton, NJ Metro Area",78695,78695,291116,291116,291116,42302,80632,197131,14087,49761,1264,29469,211100,369811,180597,180597,87486,87486,63288,63288,63288,6.7,50353,50353,252897,252897,23381,98502,120346,132980
"Twin Falls, ID Metro Area",30309,30309,78955,78955,78955,25583,52292,51956,2559,12524,774,9347,289700,109264,55205,55205,,,19209,19209,19209,0.5,5721,5721,72616,72616,19130,16368,35877,40130
"Truckee-Grass Valley, CA Micro Area",17079,17079,82617,82617,82617,37645,66299,46073,8170,10736,1256,11856,182200,99696,48808,48808,,,13952,13952,13952,0.1,9143,9143,79698,79698,6247,13441,39033,41447
"Tucson, AZ Metro Area",216294,216294,822779,822779,822779,29410,53464,481650,67072,151689,887,99840,456000,1039073,510267,510267,137692,137692,162971,162971,162971,2.1,91482,91482,759384,759384,177936,204541,370968,402323
"Tullahoma-Manchester, TN Micro Area",23183,23183,81227,81227,81227,26898,49370,48027,3749,11844,744,13221,198100,104410,51399,51399,,,30109,30109,30109,0,5875,5875,79657,79657,,,37936,40656
"Tulsa, OK Metro Area",244804,244804,749124,749124,749124,30347,55633,489812,26563,133682,839,103725,151900,993928,487611,487611,64393,64393,193541,193541,193541,0.5,58085,58085,712708,712708,124586,232280,343296,381588
"Tupelo, MS Micro Area",34233,34233,106319,106319,106319,24686,49206,63781,2467,14840,749,16978,154600,140552,68230,68230,,,25451,25451,25451,0,7544,7544,103141,103141,,,48876,50535
"Tuscaloosa, AL Metro Area",51642,51642,193253,193253,193253,26239,50939,118164,6129,31315,831,22570,121400,244895,116611,116611,,,51052,51052,51052,0.2,17576,17576,188271,188271,60137,22304,88434,87597
"Tyler, TX Metro Area",56559,56559,173662,173662,173662,29069,58226,110572,4099,25458,954,25126,163800,230221,111659,111659,,,34354,34354,34354,0.5,15342,15342,162660,162660,,,75861,77330
"Ukiah, CA Micro Area",18535,18535,69071,69071,69071,26939,51830,41461,8475,14142,1100,8329,168300,87606,43017,43017,,,15545,15545,15545,0,5402,5402,63008,63008,6273,10762,31394,33794
"Valdosta, GA Metro Area",32625,32625,112952,112952,112952,21983,35186,60696,2733,25015,757,12373,381900,145577,70425,70425,,,30192,30192,30192,0,7112,7112,110883,110883,,,53236,53680
"Vallejo-Fairfield, CA Metro Area",99231,99231,347379,347379,347379,35820,84395,226696,26001,56434,1633,21782,136900,446610,222472,222472,89460,89460,72214,72214,72214,3.3,27580,27580,312299,312299,36085,106370,154165,152291
"Urban Honolulu, HI Metro Area",207907,207907,772173,772173,772173,35958,84423,491062,40379,137431,1726,57302,442700,980080,492913,492913,194237,194237,175410,175410,175410,7.2,82465,82465,704597,704597,101869,9618,358479,308208
"Utica-Rome, NY Metro Area",61141,61141,230269,230269,230269,28117,55286,136484,21711,36881,744,33425,701200,291410,144427,144427,,,68815,68815,68815,1.3,23033,23033,224727,224727,14218,61855,111083,112800
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1434315,1434315,4816925,4816925,4816925,49436,102180,3533654,231010,814784,1670,329163,129800,6251240,3060837,3060837,1427734,1427734,761856,761856,761856,13,1085498,1085498,4229403,4229403,978652,1087177,2036602,2234559
"Waterloo-Cedar Falls, IA Metro Area",37325,37325,132334,132334,132334,29867,56245,91903,10564,20933,766,18551,433200,169659,83633,83633,,,33619,33619,33619,0.3,10222,10222,127495,127495,17694,43530,61476,68384
"Victoria, TX Metro Area",25333,25333,73714,73714,73714,27670,51683,45843,3590,10947,874,11763,150300,99047,47768,47768,,,20301,20301,20301,1.3,3911,3911,70510,70510,,,34237,34730
"Vineland-Bridgeton, NJ Metro Area",35304,35304,115668,115668,115668,25040,52795,65251,9291,16264,1054,14039,146200,150972,77267,77267,,,36875,36875,36875,2.6,6968,6968,108749,108749,6303,30060,55668,50034
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",379532,379532,1349582,1349582,1349582,33833,65604,840492,62454,257608,1146,109249,166900,1729114,849542,849542,118471,118471,286563,286563,286563,1.4,148307,148307,1303687,1303687,374168,245659,635411,654475
"Visalia-Porterville, CA Metro Area",142990,142990,322871,322871,322871,22606,48817,203251,50089,57335,905,24394,254700,465861,234322,234322,,,70194,70194,70194,1.1,15956,15956,258258,258258,28310,93221,124745,139197
"Kalamazoo-Portage, MI Metro Area",74572,74572,265746,265746,265746,29950,56016,179624,19938,43257,799,34480,220700,340318,168775,168775,,,54604,54604,54604,1.6,29242,29242,255855,255855,18441,94536,124141,132841
"Kapaa, HI Micro Area",15680,15680,56453,56453,56453,32909,80921,37455,3748,9247,1346,5649,160100,72133,36483,36483,,,13855,13855,13855,1.5,4757,4757,49412,49412,2458,245,24377,22685
"Kalispell, MT Micro Area",22476,22476,79630,79630,79630,32619,53193,50938,7695,10709,937,10980,627800,102106,51056,51056,,,22233,22233,22233,0,7293,7293,79007,79007,14324,15949,39282,38372
"Kankakee, IL Metro Area",25195,25195,84829,84829,84829,26342,51404,52415,6407,13353,864,10653,320400,110024,54768,54768,,,25803,25803,25803,0.8,5652,5652,82750,82750,,,40279,40642
"Kansas City, MO-KS Metro Area",519451,519451,1622968,1622968,1622968,35354,65768,1138346,54269,292182,968,186036,147300,2142419,1050327,1050327,149650,149650,367139,367139,367139,0.9,197246,197246,1547245,1547245,220312,568363,747356,835092
"Keene, NH Micro Area",13635,13635,62858,62858,62858,34460,59186,41711,3979,9345,900,8816,196000,76493,36924,36924,,,17497,17497,17497,0.4,6071,6071,62513,62513,2595,1163,30166,30208
"Kennewick-Richland, WA Metro Area",84918,84918,211306,211306,211306,30391,64908,138110,17752,32496,948,21887,192700,296224,148865,148865,,,45996,45996,45996,0.7,20444,20444,185283,185283,73072,22750,93203,98988
"Key West, FL Micro Area",11243,11243,63784,63784,63784,50988,71973,40529,1789,11279,1691,11078,248600,75027,38491,38491,,,16853,16853,16853,0.6,8275,8275,56600,56600,,,29561,31362
"Killeen-Temple, TX Metro Area",120642,120642,331039,331039,331039,24575,53686,193210,20014,66702,894,32963,541900,451681,225128,225128,,,77051,77051,77051,0.1,21889,21889,312246,312246,126660,20454,154072,152160
"Kingsport-Bristol-Bristol, TN-VA Metro Area",58750,58750,247812,247812,247812,26194,41957,132268,14232,33470,625,45504,149200,306562,149471,149471,,,81007,81007,81007,0.3,17630,17630,246285,246285,102773,13640,118861,125768
"Kingston, NY Metro Area",31311,31311,147288,147288,147288,35400,63889,92896,11909,22663,1163,20533,134900,178599,88542,88542,,,38701,38701,38701,3.9,17980,17980,141211,141211,10102,13929,69705,69154
"Klamath Falls, OR Micro Area",14986,14986,52667,52667,52667,23892,45354,27910,4628,9732,758,8208,243700,67653,33719,33719,,,14120,14120,14120,0.1,3541,3541,50411,50411,9402,9712,24800,26798
"Knoxville, TN Metro Area",182427,182427,700171,700171,700171,30014,53523,433391,33404,107919,816,104184,169500,882598,429386,429386,31828,31828,187304,187304,187304,0.7,70780,70780,685613,685613,216589,108475,329059,344657
