CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Beaver Dam, WI Micro Area",17381,17381,70466,70466,70466,30722,63077,48480,3957,11084,821,8138,123000,87847,45847,45847,,,27004,27004,27004,0.1,2860,2860,69583,69583,5476,21497,36492,35221
"Beckley, WV Metro Area",23801,23801,93471,93471,93471,23560,38917,46811,8241,12319,674,19114,173800,117272,58835,58835,,,33572,33572,33572,0,6070,6070,93408,93408,28358,16718,46479,48632
"Bloomington, IL Metro Area",41346,41346,149538,149538,149538,32678,64822,99434,7149,24916,818,17307,98000,190884,93366,93366,,,29744,29744,29744,0.7,19089,19089,143157,143157,17780,50880,68857,73580
"Bloomington, IN Metro Area",27767,27767,139995,139995,139995,27326,47335,88488,6035,27930,882,13303,168100,167762,82382,82382,,,23361,23361,23361,2.5,20535,20535,132049,132049,29418,27740,64780,65571
"Bloomsburg-Berwick, PA Metro Area",15105,15105,68591,68591,68591,29967,50984,41892,3677,10160,733,10835,172600,83696,40538,40538,,,24097,24097,24097,0.4,7166,7166,67197,67197,12476,7162,32215,34470
"Bluefield, WV-VA Micro Area",20100,20100,79886,79886,79886,22088,39276,38776,4584,12781,704,17547,166200,99986,48908,48908,,,26626,26626,26626,0.1,4626,4626,79382,79382,29483,6235,38092,42744
"Boise City, ID Metro Area",182026,182026,550231,550231,550231,30140,61407,365115,20883,77507,946,59261,90100,732257,365642,365642,,,126113,126113,126113,0.3,50336,50336,524528,524528,72131,177783,258332,268289
"Boston-Cambridge-Newton, MA-NH Metro Area",962856,962856,3912534,3912534,3912534,47358,88711,2766972,309985,722050,1501,342251,264400,4875390,2370248,2370248,943500,943500,721516,721516,721516,13.2,776451,776451,3510561,3510561,306440,980837,1676985,1847798
"Boulder, CO Metro Area",62140,62140,263938,263938,263938,45923,83755,184954,14444,47943,1498,25425,464600,326078,163621,163621,33244,33244,23587,23587,23587,5,60186,60186,246761,246761,25260,95926,123485,128295
"Bowling Green, KY Metro Area",40603,40603,136580,136580,136580,25758,51365,90047,10782,24664,778,16255,554100,177183,87588,87588,,,35843,35843,35843,0,11471,11471,128029,128029,,,62798,67424
"Bozeman, MT Micro Area",22863,22863,89013,89013,89013,34879,68266,66507,4653,17010,1105,10349,166600,111876,57812,57812,,,12816,12816,12816,1,13143,13143,87283,87283,12384,26670,45143,44423
"Brainerd, MN Micro Area",20517,20517,73891,73891,73891,29256,51177,45055,7692,8769,717,13106,412100,94408,47621,47621,,,19985,19985,19985,0.5,5026,5026,73600,73600,7990,16889,36823,40501
"Branson, MO Micro Area",17417,17417,70184,70184,70184,23603,41913,37915,2926,8728,710,13613,202600,87601,41753,41753,,,21164,21164,21164,0,4061,4061,69820,69820,24519,1960,33615,36201
"Bremerton-Silverdale, WA Metro Area",55256,55256,214549,214549,214549,38588,76945,126416,15862,31694,1305,23624,142600,269805,138086,138086,,,40110,40110,40110,7.5,22120,22120,208478,208478,59659,27450,106789,105411
"Bridgeport-Stamford-Norwalk, CT Metro Area",211990,211990,731833,731833,731833,56135,91079,512200,46560,118537,1439,70892,363400,943823,459662,459662,204131,204131,133036,133036,133036,9.5,139255,139255,638490,638490,60295,139350,302720,345634
"Brownsville-Harlingen, TX Metro Area",128762,128762,295146,295146,295146,16788,38378,171778,8280,41899,712,49809,435000,423908,206053,206053,,,69237,69237,69237,0.7,13052,13052,233241,233241,,,111299,124812
"Brunswick, GA Metro Area",25156,25156,91708,91708,91708,31256,50499,53958,2530,14931,925,17053,86500,116864,54839,54839,,,25013,25013,25013,0.3,9251,9251,88675,88675,,,40454,47266
"Cape Girardeau, MO-IL Metro Area",19788,19788,73859,73859,73859,22977,48026,47798,3548,11688,774,10103,155600,93647,45324,45324,,,21029,21029,21029,1.5,6305,6305,72049,72049,,,34447,34368
"Carbondale-Marion, IL Metro Area",25366,25366,99109,99109,99109,25211,42716,58844,10209,22200,692,15086,152900,124475,62663,62663,,,23537,23537,23537,2,11630,11630,96910,96910,,,48031,51205
"Carson City, NV Metro Area",11316,11316,44098,44098,44098,34086,56160,28871,2340,9744,1004,,114400,55414,28415,28415,,,8575,8575,8575,0.6,2517,2517,40557,40557,,,20869,23099
"Casper, WY Metro Area",18914,18914,60201,60201,60201,36004,64833,42462,1683,9410,857,,316800,79115,39805,39805,,,13498,13498,13498,0,4942,4942,59620,59620,5845,23893,29497,32240
"Cedar Rapids, IA Metro Area",63173,63173,209122,209122,209122,33668,62882,147198,13708,26385,695,27231,211000,272295,135050,135050,,,53238,53238,53238,0.3,16494,16494,203750,203750,18613,77884,99582,109191
"Centralia, WA Micro Area",16999,16999,62605,62605,62605,28346,61058,34187,4747,8772,907,8672,157400,79604,39969,39969,,,16715,16715,16715,0.8,3810,3810,60234,60234,22278,3106,29783,30327
"Chambersburg-Waynesboro, PA Metro Area",34503,34503,120332,120332,120332,30306,61208,80379,8094,16832,833,17909,246400,154835,75735,75735,,,46739,46739,46739,0.1,9067,9067,116569,116569,29946,9573,56432,59834
"Waco, TX Metro Area",65784,65784,204782,204782,204782,23849,47328,125413,7524,40753,882,28226,180200,270566,131407,131407,,,45774,45774,45774,0.4,14118,14118,191023,191023,64041,28192,90643,97387
"Walla Walla, WA Metro Area",13695,13695,51916,51916,51916,26805,59704,29585,3866,9409,890,6684,158400,65611,33222,33222,,,8475,8475,8475,0.4,4608,4608,47778,47778,13989,7452,24212,23893
"Warner Robins, GA Metro Area",47461,47461,146268,146268,146268,31628,54024,92344,10035,26258,853,14776,231900,193729,96616,96616,,,36143,36143,36143,0.1,14259,14259,140471,140471,62509,7718,66991,71511
