CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Total Civilian Non-institulionized Population,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,% of Owner Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,TOTAL POPULATION,%foriegn born,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Estimate of ages above 25yrs with a high school degree,Total Civilian Non-institulionized Population,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,%Total population 65-74,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%homes heating with wood,%workers taking taxi to work,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0070PE,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0046PE,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,,DP02_0095PE,DP03_0021PE,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0061E,DP02_0070PE,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0007PE,DP03_0112PE,DP03_0107E,DP03_0107PE,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0015PE,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP04_0068PE,DP03_0021PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Political,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental
"Albany, GA Metro Area",575193,174480,575193,9.7,7.9,110079,749673,2.23,921,64.3,183700,364975,9521,22947,9.7,29318,0.3,102560,560301,174480,575193,9.7,22947,7.9,33979,58357,367779,37,35.1,37626,11.5,125079,73278,575193,9.7,749673,364975,9521,22947,29318,102560,560301,266167,0.4,0,0,0.8,2730,55,8.7,0,0,0.3,163146,130097
"Albany, OR Metro Area",107193.1,45300,107192,6.3,3.5,16373,152492,2.72,943,66,358500,76006,1940,1781,6.3,8509,0.8,19909,103134,45300,107192,6.3,1781,3.5,28804,67022,78194,30.3,51.3,4971,7.2,20626,11181,107192,6.3,152492,76006,1940,1781,8509,19909,103134,50598,1.2,1.1,0,0.3,1105,20,8,0,0,0.8,6788,35185
"Albany-Schenectady-Troy, NY Metro Area",115081.9,35481,115080,11.2,5.1,16430,150561,2.37,694,70.3,115200,74059,,10936,413.2,1546,0.1,7573,114449,35481,115080,11.2,10936,5.1,20566,40951,57364,52,68.5,12100,25,17007,21944,115080,11.2,150561,74059,,10936,1546,7573,114449,55292,,1.9,402,0,1208,0,10.8,0.7,0.7,0.1,37345,11595
"Albertville, AL Micro Area",217315,70553,217315,10.5,7.3,30491,287868,2.31,878,71.3,155700,142689,4990,13644,10.5,20719,0,27332,205772,70553,217315,10.5,13644,7.3,29315,56777,130723,42.3,18.4,7339,6.6,34684,40976,217315,10.5,287868,142689,4990,13644,20719,27332,205772,102675,0.4,0,0,0.5,543,0,10.7,0,0,0,73356,28149
"Albuquerque, NM Metro Area",86166.5,25358,86166,11.8,9.9,15175,111524,2.26,1022,64.9,358500,55779,476,5364,11.8,3825,0,8968,84433,25358,86166,11.8,5364,9.9,33803,71194,48925,45,41.5,8130,19,17890,10139,86166,11.8,111524,55779,476,5364,3825,8968,84433,41647,0.2,0.5,0,0.3,2359,98,7.4,0,0,0,37269,2103
"Alexandria, LA Metro Area",10246817.1,2750536,10246817,8.8,3,2275782,12997353,2.71,1786,48.9,748700,6441971,748839,660018,314.8,4231132,2.8,2147221,8481966,2750536,10246817,8.8,660018,3,40569,82503,6822523,35.4,41.4,935068,16.2,1489442,687556,10246817,8.8,12997353,6441971,748839,660018,4231132,2147221,8481966,4135236,0.2,0.1,306,5.1,6767,25945,8.5,0,0,2.8,1257664,2844567
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",999346.2,285480,999346,10.5,6.9,164304,1284826,2.13,954,68.6,220500,629809,44799,52875,25.5,88254,0.7,173546,956410,285480,999346,10.5,52875,6.9,35788,64029,656715,36.3,45,74304,13,236749,121868,999346,10.5,1284826,629809,44799,52875,88254,173546,956410,461093,0.7,0.2,15,0.6,4372,192,7.8,0,0,0.7,222483,270576
"Altoona, PA Metro Area",249125,77421,249125,7.8,4.7,55779,326546,2.1,972,56.8,175000,160944,5138,13515,7.8,16560,0.8,40117,242065,77421,249125,7.8,13515,4.7,31512,57634,171123,33.7,24.3,10104,6.9,40285,33028,249125,7.8,326546,160944,5138,13515,16560,40117,242065,118083,0.3,0,0,0.3,458,0,8.9,0,0,0.8,76224,48748
"Amarillo, TX Metro Area",64526,21980,64526,11.5,7.9,11793,86506,2.33,909,63.8,136000,43339,,4087,11.5,7300,0.2,6351,59726,21980,64526,11.5,4087,7.9,25129,50045,36963,45.1,44.7,4170,12.7,9951,10794,64526,11.5,86506,43339,,4087,7300,6351,59726,28772,,,,,,,11.7,,,0.2,,
"Ames, IA Metro Area",87222.3,29107,87221,10.1,5.2,15027,116328,2.63,683,65.5,88400,55740,1853,10872,10.1,5436,0.3,6914,83618,29107,87221,10.1,10872,5.2,20504,37008,46973,47.6,30.2,4886,12,10597,17905,87221,10.1,116328,55740,1853,10872,5436,6914,83618,39634,,1.3,0,0.5,344,0,10.3,0,0,0.3,33780,4045
